date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,6.67,6.74,6.74,6.66,220090.66,0.06,0.9,6.732,6.812,6.8,225600.89,302021.4,294032.55,0.56
2016-10-17,6.74,6.77,6.68,6.66,249142.66,-0.07,-1.04,6.742,6.852,6.804,255554.88,357366.56,294646.5,0.63
2016-10-14,6.74,6.75,6.75,6.7,201373.25,0.0,0.0,6.758,6.869,6.815,314364.81,376033.06,291431.58,0.51
2016-10-13,6.74,6.77,6.75,6.7,233929.91,0.01,0.15,6.792,6.874,6.824,322974.2,375368.59,295266.64,0.6
2016-10-12,6.77,6.78,6.74,6.71,223467.95,-0.05,-0.74,6.84,6.885,6.834,333350.22,392778.71,298392.37,0.57
2016-10-11,6.74,6.82,6.79,6.71,369860.62,0.03,0.44,6.892,6.884,6.839,378441.92,382791.19,295117.9,0.94
2016-10-10,6.9,6.91,6.76,6.64,543192.31,-0.16,-2.31,6.962,6.877,6.841,459178.23,360389.01,290390.2,1.38
2016-09-30,7.0,7.03,6.92,6.91,244420.23,-0.07,-1.0,6.98,6.874,6.847,437701.32,322098.0,279201.31,0.62
2016-09-29,7.03,7.08,6.99,6.97,285809.97,-0.01,-0.14,6.956,6.848,6.851,427762.97,312662.18,286778.97,0.73
2016-09-28,7.08,7.11,7.0,6.96,448926.47,-0.14,-1.96,6.93,6.819,6.846,452207.2,303515.76,287639.71,1.14
2016-09-27,6.81,7.14,7.14,6.75,773542.19,0.29,4.23,6.876,6.787,6.846,387140.46,286043.7,281939.7,1.97
2016-09-26,6.79,6.97,6.85,6.79,435807.72,0.05,0.73,6.792,6.755,6.831,261599.78,231926.45,257251.61,1.11
2016-09-23,6.87,6.89,6.8,6.8,194728.52,-0.06,-0.88,6.768,6.761,6.832,206494.69,206830.1,256988.32,0.5
2016-09-22,6.75,6.95,6.86,6.75,408031.12,0.13,1.93,6.74,6.773,6.84,197561.39,215164.69,258862.35,1.04
2016-09-21,6.71,6.76,6.73,6.68,123592.76,0.01,0.15,6.708,6.783,6.845,154824.31,204006.03,262371.73,0.31
2016-09-20,6.78,6.78,6.72,6.69,145838.8,-0.01,-0.15,6.698,6.794,6.862,184946.95,207444.61,275277.62,0.37
2016-09-19,6.67,6.74,6.73,6.66,160282.23,0.07,1.05,6.718,6.805,6.883,202253.11,220391.38,302370.75,0.41
2016-09-14,6.66,6.7,6.66,6.64,150062.02,-0.04,-0.6,6.754,6.82,6.914,207165.51,236304.62,363260.11,0.38
2016-09-13,6.7,6.75,6.7,6.65,194345.72,0.02,0.3,6.806,6.853,6.938,232767.99,260895.77,383770.93,0.5
2016-09-12,6.7,6.78,6.68,6.66,274205.97,-0.14,-2.05,6.858,6.873,6.962,253187.76,271763.66,423032.78,0.7
2016-09-09,6.92,6.94,6.82,6.82,232369.61,-0.09,-1.3,6.89,6.904,6.994,229942.28,277835.69,491514.8,0.59
