date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,5.95,6.05,6.02,5.95,398976.16,0.06,1.01,5.98,5.971,5.945,220915.42,219187.02,259665.62,0.13
2016-10-17,5.96,6.02,5.97,5.93,255217.06,0.01,0.17,5.976,5.959,5.951,188248.06,196370.28,252620.82,0.08
2016-10-14,5.96,5.97,5.96,5.92,173317.78,-0.01,-0.17,5.984,5.949,5.963,195839.42,194209.76,254913.85,0.05
2016-10-13,5.98,5.99,5.98,5.96,140822.89,0.01,0.17,5.988,5.948,5.976,208484.88,193146.24,267727.25,0.04
2016-10-12,5.97,6.0,5.97,5.96,136243.23,-0.03,-0.5,5.98,5.944,5.991,223181.34,207306.07,275972.22,0.04
2016-10-11,6.01,6.02,6.0,5.95,235639.34,-0.01,-0.17,5.962,5.942,6.008,217458.61,215294.38,278881.01,0.07
2016-10-10,5.98,6.02,6.01,5.95,293173.84,0.03,0.5,5.942,5.932,6.022,204492.5,212152.18,280125.74,0.09
2016-09-30,5.92,6.03,5.98,5.92,236545.09,0.04,0.67,5.914,5.919,6.039,192580.09,239559.01,280110.77,0.07
2016-09-29,5.9,5.97,5.94,5.89,214305.19,0.05,0.85,5.908,5.908,6.058,177807.61,259085.09,281511.18,0.07
2016-09-28,5.91,5.92,5.88,5.87,107629.59,-0.03,-0.51,5.908,5.908,6.077,191430.79,263864.75,281431.85,0.03
2016-09-27,5.86,5.91,5.9,5.8,170808.8,0.03,0.51,5.922,5.919,6.097,213130.15,300144.23,290939.37,0.05
2016-09-26,5.95,5.95,5.87,5.86,233611.8,-0.09,-1.51,5.922,5.942,6.119,219811.86,308871.35,300468.31,0.07
2016-09-23,5.96,5.97,5.95,5.93,162682.66,0.0,0.0,5.924,5.977,6.143,286537.92,315617.95,300912.44,0.05
2016-09-22,5.96,5.98,5.94,5.93,282421.12,0.0,0.0,5.908,6.004,6.161,340362.57,342308.26,311535.37,0.09
2016-09-21,5.89,5.96,5.95,5.88,216126.38,0.04,0.68,5.908,6.037,6.183,336298.71,344638.37,309957.25,0.07
2016-09-20,5.89,5.92,5.9,5.87,204217.34,0.02,0.34,5.916,6.073,6.208,387158.31,342467.65,306975.83,0.06
2016-09-19,5.87,5.95,5.88,5.87,567242.12,0.01,0.17,5.962,6.112,6.234,397930.84,348099.29,307686.79,0.18
2016-09-14,5.94,5.94,5.87,5.84,431805.88,-0.08,-1.34,6.03,6.159,6.264,344697.98,320662.54,298276.66,0.14
2016-09-13,6.01,6.02,5.94,5.94,262101.84,-0.05,-0.83,6.1,6.207,6.295,344253.95,303937.28,297892.51,0.08
2016-09-12,6.08,6.08,5.99,5.96,470424.38,-0.14,-2.28,6.166,6.245,6.327,352978.03,298998.95,331797.21,0.15
2016-09-09,6.22,6.22,6.13,6.12,258080.0,-0.09,-1.45,6.23,6.274,6.362,297776.98,281734.5,353780.64,0.08
2016-09-08,6.22,6.23,6.22,6.18,301077.81,-0.01,-0.16,6.262,6.296,6.377,298267.74,292065.27,373669.48,0.09
2016-09-07,6.26,6.27,6.22,6.2,429585.72,-0.05,-0.8,6.288,6.308,6.377,296627.1,286206.93,403554.67,0.13
2016-09-06,6.3,6.34,6.27,6.23,305722.22,-0.03,-0.48,6.314,6.317,6.368,263620.6,280762.48,392049.98,0.1
2016-09-05,6.28,6.33,6.31,6.27,194419.17,0.02,0.32,6.324,6.329,6.357,245019.87,275276.13,388834.3,0.06
2016-09-02,6.34,6.37,6.29,6.26,260533.77,-0.05,-0.79,6.318,6.342,6.342,265692.02,271484.01,390268.9,0.08
2016-09-01,6.34,6.41,6.35,6.29,292874.62,0.0,0.0,6.33,6.356,6.325,285862.8,267274.28,395771.6,0.09
