date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,22.0,22.44,22.44,22.0,100419.68,0.32,1.45,22.388,22.298,22.459,102848.84,98631.86,123793.23,1.0
2016-10-17,22.4,22.41,22.12,22.02,83858.55,-0.19,-0.85,22.4,22.272,22.481,102289.59,98699.55,132330.5,0.84
2016-10-14,22.51,22.51,22.31,22.17,97679.36,-0.22,-0.98,22.488,22.25,22.541,112959.7,103964.93,133574.06,0.98
2016-10-13,22.54,22.71,22.53,22.39,117454.83,-0.01,-0.04,22.412,22.244,22.585,109058.81,107879.32,135505.98,1.17
2016-10-12,22.57,22.78,22.54,22.41,114831.78,0.04,0.18,22.304,22.238,22.633,102271.0,120191.6,137255.68,1.15
2016-10-11,22.49,22.56,22.5,22.39,97623.45,-0.06,-0.27,22.208,22.289,22.661,94414.88,117103.14,136036.6,0.98
2016-10-10,22.12,22.57,22.56,22.03,137209.08,0.63,2.87,22.144,22.343,22.679,95109.5,118988.9,138193.44,1.37
2016-09-30,21.92,22.12,21.93,21.84,78174.93,-0.06,-0.27,22.012,22.399,22.707,94970.17,118221.85,137857.38,0.78
2016-09-29,22.09,22.25,21.99,21.97,83515.75,-0.07,-0.32,22.076,22.507,22.791,106699.82,133824.51,139165.34,0.83
2016-09-28,22.18,22.38,22.06,22.01,75551.18,-0.12,-0.54,22.172,22.565,22.87,138112.2,137609.67,140175.65,0.75
2016-09-27,21.95,22.26,22.18,21.92,101096.56,0.28,1.28,22.37,22.619,22.942,139791.41,148954.6,142062.65,1.01
2016-09-26,22.22,22.54,21.9,21.88,136512.41,-0.35,-1.57,22.542,22.689,23.001,142868.3,165961.45,143795.78,1.36
2016-09-23,22.54,22.58,22.25,22.2,136823.2,-0.22,-0.98,22.786,22.831,23.077,141473.53,163183.19,146913.93,1.37
2016-09-22,23.2,23.24,22.47,22.47,240577.66,-0.58,-2.52,22.938,22.925,23.162,160949.21,163132.64,148565.62,2.4
2016-09-21,23.0,23.23,23.05,22.96,83947.23,0.01,0.04,22.958,23.027,23.227,137107.14,154319.76,145444.94,0.84
2016-09-20,23.12,23.48,23.04,23.03,116480.98,-0.08,-0.35,22.868,23.032,23.268,158117.79,154970.07,155161.26,1.16
2016-09-19,23.0,23.28,23.12,22.96,129538.57,0.11,0.48,22.836,23.014,23.36,189054.6,157397.99,169434.99,1.29
2016-09-14,22.56,23.2,23.01,22.44,234201.61,0.44,1.95,22.876,23.015,23.439,184892.86,157492.91,187180.06,2.34
2016-09-13,22.79,22.96,22.57,22.41,121367.29,-0.03,-0.13,22.912,23.075,23.481,165316.06,144506.17,183481.93,1.21
2016-09-12,22.52,23.15,22.6,22.35,189000.52,-0.28,-1.22,23.096,23.174,23.551,171532.39,142741.64,192071.3,1.89
2016-09-09,23.15,23.8,22.88,22.7,271165.0,-0.44,-1.89,23.196,23.264,23.616,151822.34,135170.71,198869.14,2.71
2016-09-08,23.2,23.59,23.32,23.16,108729.88,0.13,0.56,23.192,23.313,23.615,125741.38,121630.11,191353.94,1.09
2016-09-07,23.39,23.63,23.19,23.17,136317.62,-0.3,-1.28,23.154,23.322,23.577,130092.97,130644.66,194435.22,1.36
2016-09-06,23.1,23.5,23.49,22.71,152448.92,0.39,1.69,23.238,23.399,23.585,123696.28,133998.61,197612.46,1.52
