date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,5.26,5.37,5.33,5.16,1019053.06,0.1,1.91,5.364,5.243,5.255,1274840.31,1222591.44,1526152.15,1.38
2016-10-17,5.43,5.43,5.23,5.2,1238815.5,-0.2,-3.68,5.392,5.211,5.242,1475641.65,1224627.63,1611585.4,1.68
2016-10-14,5.38,5.57,5.43,5.34,1279699.75,0.05,0.93,5.42,5.187,5.225,1623388.95,1200522.04,1621338.3,1.74
2016-10-13,5.41,5.57,5.38,5.36,1247146.62,-0.07,-1.28,5.31,5.151,5.2,1473032.9,1255591.01,1669275.23,1.69
2016-10-12,5.39,5.59,5.45,5.3,1589486.62,-0.02,-0.37,5.224,5.154,5.189,1355653.69,1269074.62,1773523.75,2.16
2016-10-11,5.39,5.52,5.47,5.26,2023059.75,0.1,1.86,5.122,5.142,5.167,1170342.57,1243092.32,1910353.34,2.74
2016-10-10,4.99,5.37,5.37,4.97,1977552.0,0.49,10.04,5.03,5.135,5.123,973613.61,1224189.42,1890221.82,2.68
2016-09-30,4.92,4.96,4.88,4.88,527919.5,-0.06,-1.22,4.954,5.149,5.064,777655.14,1224885.09,1827677.76,0.72
2016-09-29,4.94,5.02,4.95,4.91,660250.56,0.01,0.2,4.992,5.215,5.03,1038149.11,1489891.47,1836323.34,0.9
2016-09-28,4.98,5.05,4.94,4.9,662931.06,-0.07,-1.4,5.084,5.241,4.993,1182495.55,1666354.11,1838103.76,0.9
2016-09-27,4.98,5.02,5.01,4.83,1039414.94,0.03,0.6,5.162,5.266,4.957,1315842.06,1829712.86,1865920.6,1.41
2016-09-26,5.02,5.13,4.99,4.96,997759.62,-0.09,-1.77,5.24,5.272,4.928,1474765.22,1998543.16,1929799.01,1.35
2016-09-23,5.36,5.39,5.07,5.07,1830389.38,-0.33,-6.11,5.344,5.263,4.91,1672115.05,2042154.56,1901885.89,2.48
