date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,6.67,6.83,6.78,6.66,883251.81,0.1,1.5,6.722,6.688,6.681,489621.16,361962.26,385995.6,2.08
2016-10-17,6.71,6.79,6.69,6.68,377825.28,-0.04,-0.59,6.704,6.673,6.678,369357.92,296492.04,356294.46,0.89
2016-10-14,6.7,6.74,6.73,6.67,343597.59,0.02,0.3,6.706,6.665,6.681,353253.25,294540.78,348720.17,0.81
2016-10-13,6.69,6.76,6.71,6.67,446416.34,0.0,0.0,6.69,6.658,6.683,331362.3,287675.13,350307.45,1.05
2016-10-12,6.68,6.74,6.7,6.66,397014.78,0.01,0.15,6.672,6.654,6.685,285793.38,271516.52,341147.09,0.94
2016-10-11,6.69,6.72,6.69,6.67,281935.59,-0.01,-0.15,6.654,6.651,6.687,234303.36,253528.51,331990.74,0.66
2016-10-10,6.66,6.7,6.7,6.65,297301.97,0.06,0.9,6.642,6.651,6.69,223626.15,278021.14,333352.76,0.7
2016-09-30,6.63,6.67,6.65,6.62,234142.84,0.04,0.6,6.624,6.658,6.691,235828.31,361129.17,332449.26,0.55
2016-09-29,6.61,6.64,6.62,6.61,218571.7,0.01,0.15,6.626,6.658,6.697,243987.95,359352.89,335622.22,0.52
2016-09-28,6.63,6.64,6.61,6.6,139564.7,-0.02,-0.3,6.636,6.664,6.704,257239.66,359146.57,339476.3,0.33
2016-09-27,6.6,6.63,6.63,6.59,228549.56,0.02,0.3,6.648,6.673,6.711,272753.66,410028.93,343664.03,0.54
2016-09-26,6.65,6.67,6.61,6.6,358312.75,-0.04,-0.6,6.66,6.682,6.718,332416.12,416096.88,343519.71,0.84
2016-09-23,6.67,6.69,6.66,6.64,274941.03,-0.01,-0.15,6.692,6.696,6.725,486430.02,402899.56,343151.06,0.65
2016-09-22,6.7,6.72,6.67,6.66,284830.25,0.0,0.0,6.69,6.707,6.732,474717.83,412939.76,343937.49,0.67
2016-09-21,6.69,6.69,6.67,6.66,217134.7,-0.01,-0.15,6.692,6.716,6.74,461053.48,410777.66,342228.29,0.51
2016-09-20,6.74,6.76,6.69,6.67,526861.88,-0.08,-1.18,6.698,6.723,6.747,547304.2,410452.96,353177.55,1.24
2016-09-19,6.7,6.94,6.77,6.7,1128382.25,0.13,1.96,6.704,6.729,6.759,499777.64,388684.37,355888.08,2.66
2016-09-14,6.66,6.67,6.65,6.62,216380.05,-0.04,-0.6,6.7,6.723,6.764,319369.1,303769.35,316803.12,0.51
2016-09-13,6.69,6.7,6.68,6.65,216508.53,-0.03,-0.45,6.724,6.736,6.775,351161.7,311891.55,328613.11,0.51
2016-09-12,6.67,6.72,6.7,6.61,648388.31,-0.02,-0.3,6.74,6.743,6.786,360501.84,319806.04,352739.11,1.53
2016-09-09,6.74,6.77,6.72,6.72,289229.06,-0.04,-0.59,6.748,6.749,6.795,273601.72,277299.14,366681.24,0.68
2016-09-08,6.76,6.78,6.75,6.73,226339.53,-0.02,-0.29,6.754,6.753,6.797,277591.11,270942.53,370174.91,0.53
2016-09-07,6.76,6.82,6.77,6.75,375343.09,0.0,0.0,6.746,6.754,6.794,288169.6,283402.56,372153.92,0.88
2016-09-06,6.74,6.77,6.76,6.7,263209.19,0.02,0.3,6.748,6.756,6.792,272621.39,274935.21,366345.87,0.62
2016-09-05,6.75,6.77,6.74,6.73,213887.73,-0.01,-0.15,6.746,6.763,6.792,279110.23,273678.93,367934.87,0.5
2016-09-02,6.71,6.75,6.75,6.7,309176.0,0.04,0.6,6.75,6.771,6.792,280996.55,295902.15,369048.2,0.73
2016-09-01,6.76,6.77,6.71,6.71,279232.0,-0.06,-0.89,6.752,6.789,6.788,264293.95,323091.78,363330.43,0.66
2016-08-31,6.74,6.8,6.78,6.72,297602.03,0.03,0.44,6.762,6.805,6.788,278635.51,329836.88,362459.83,0.7
2016-08-30,6.78,6.79,6.75,6.73,295653.41,-0.01,-0.15,6.764,6.814,6.784,277249.03,345334.68,357261.37,0.7
2016-08-29,6.74,6.8,6.76,6.72,223319.33,0.01,0.15,6.78,6.829,6.781,268247.63,385672.19,354295.76,0.53
2016-08-26,6.76,6.79,6.76,6.74,225662.98,0.0,0.0,6.792,6.841,6.776,310807.74,456063.33,372818.95,0.53
2016-08-25,6.78,6.78,6.76,6.7,350939.81,-0.04,-0.59,6.826,6.841,6.776,381889.6,469407.29,376321.57,0.83
2016-08-24,6.84,6.85,6.79,6.78,290669.62,-0.04,-0.59,6.848,6.834,6.778,381038.25,460905.28,378461.66,0.69
2016-08-23,6.81,6.85,6.83,6.8,250646.39,0.0,0.0,6.864,6.828,6.779,413420.32,457756.53,404253.96,0.59
2016-08-22,6.91,6.93,6.82,6.82,436119.88,-0.1,-1.45,6.878,6.821,6.785,503096.76,462190.82,410402.3,1.03
2016-08-19,6.87,6.96,6.93,6.84,581072.31,0.07,1.02,6.89,6.812,6.787,601318.93,442194.27,407073.22,1.37
2016-08-18,6.87,6.9,6.87,6.84,346683.06,0.0,0.0,6.856,6.787,6.786,556924.99,403569.09,401030.05,0.82
2016-08-17,6.92,6.92,6.87,6.82,452579.97,-0.03,-0.43,6.82,6.77,6.79,540772.3,395082.78,401192.01,1.07
2016-08-16,6.89,6.98,6.9,6.88,699028.56,0.02,0.29,6.792,6.753,6.795,502092.73,369188.06,398210.34,1.65
2016-08-15,6.75,6.92,6.88,6.75,927230.75,0.12,1.77,6.764,6.733,6.801,421284.88,322919.32,398081.14,2.19
2016-08-12,6.69,6.77,6.76,6.67,359102.59,0.07,1.05,6.734,6.71,6.805,283069.6,289574.57,375107.09,0.85
2016-08-11,6.73,6.77,6.69,6.68,265919.62,-0.05,-0.74,6.718,6.711,6.818,250213.19,283235.85,387058.87,0.63
2016-08-10,6.74,6.77,6.73,6.72,259182.14,-0.02,-0.3,6.72,6.722,6.832,249393.26,296018.05,397119.41,0.61
2016-08-09,6.71,6.77,6.76,6.7,294989.31,0.04,0.59,6.714,6.73,6.847,236283.39,350751.4,431424.76,0.7
2016-08-08,6.67,6.73,6.73,6.64,236154.34,0.05,0.75,6.702,6.748,6.862,224553.76,358613.77,458801.34,0.56
2016-08-05,6.71,6.72,6.68,6.68,194820.55,-0.03,-0.45,6.686,6.762,6.873,296079.55,371952.18,476726.21,0.46
2016-08-04,6.7,6.73,6.7,6.66,261819.97,0.0,0.0,6.704,6.784,6.887,316258.51,398491.01,486311.33,0.62
2016-08-03,6.68,6.72,6.7,6.66,193632.77,0.01,0.15,6.724,6.81,6.9,342642.84,407301.24,504206.96,0.46
2016-08-02,6.64,6.71,6.7,6.63,236341.19,0.04,0.6,6.746,6.837,6.917,465219.41,427232.62,538115.92,0.56
2016-08-01,6.74,6.75,6.65,6.58,593783.25,-0.11,-1.63,6.794,6.868,6.937,492673.78,473242.96,612081.1,1.4
2016-07-29,6.8,6.81,6.77,6.74,295715.38,-0.03,-0.44,6.838,6.9,6.95,447824.82,460639.6,619404.74,0.7
2016-07-28,6.78,6.83,6.8,6.76,393741.59,-0.03,-0.44,6.864,6.925,6.954,480723.5,490881.89,628607.51,0.93
2016-07-27,6.93,6.94,6.81,6.68,806515.62,-0.12,-1.73,6.896,6.942,6.955,471959.64,498220.76,631953.33,1.9
2016-07-26,6.87,6.94,6.94,6.86,373613.06,0.08,1.17,6.928,6.963,6.958,389245.84,512098.13,635795.4,0.88
2016-07-25,6.88,6.9,6.87,6.83,369538.44,-0.02,-0.29,6.942,6.975,6.951,453812.14,558988.9,639786.95,0.87
2016-07-22,6.96,6.97,6.9,6.88,460208.78,-0.07,-1.0,6.962,6.983,6.948,473454.38,581500.23,642899.35,1.09
2016-07-21,6.96,7.0,6.96,6.95,349922.31,0.0,0.0,6.986,6.989,6.938,501040.28,574131.66,650305.21,0.83
2016-07-20,6.99,7.01,6.97,6.95,392946.62,-0.05,-0.71,6.988,6.99,6.931,524481.88,601112.68,651350.92,0.93
2016-07-19,6.95,7.04,7.01,6.94,696444.56,0.04,0.57,6.998,6.996,6.923,634950.42,648999.21,646691.14,1.64
2016-07-18,7.01,7.02,6.97,6.93,467749.62,-0.05,-0.71,7.008,7.005,6.91,664165.66,750919.25,640524.02,1.1
2016-07-15,7.01,7.07,7.02,7.0,598138.31,0.04,0.57,7.004,6.999,6.905,689546.09,778169.89,632962.59,1.41
2016-07-14,7.0,7.01,6.97,6.95,467130.31,-0.05,-0.71,6.992,6.982,6.897,647223.04,766333.12,642595.78,1.1
2016-07-13,7.0,7.11,7.02,6.98,945289.31,0.05,0.72,6.992,6.968,6.894,677743.48,765685.9,694159.87,2.23
2016-07-12,6.96,7.07,7.06,6.94,842520.75,0.1,1.44,6.994,6.953,6.88,663048.01,759492.67,673287.52,1.99
2016-07-11,6.97,7.01,6.95,6.95,594651.75,-0.01,-0.14,7.002,6.927,6.861,837672.83,720585.01,647146.97,1.4
2016-07-08,6.98,6.99,6.96,6.94,386523.09,-0.02,-0.29,6.994,6.912,6.846,866793.69,704298.48,640198.69,0.91
2016-07-07,7.02,7.02,6.97,6.94,619732.5,-0.06,-0.85,6.972,6.886,6.842,885443.2,726478.76,642430.47,1.46
2016-07-06,7.05,7.05,7.03,6.98,871811.94,-0.07,-0.99,6.944,6.871,6.837,853628.32,701589.16,629239.24,2.06
2016-07-05,6.91,7.23,7.1,6.89,1715644.88,0.19,2.75,6.912,6.849,6.832,855937.33,644383.06,613024.72,4.05
2016-07-04,6.81,6.92,6.91,6.8,740256.06,0.07,1.02,6.852,6.815,6.828,603497.18,530128.79,563434.76,1.75
2016-07-01,6.84,6.94,6.85,6.82,479770.62,0.02,0.29,6.83,6.81,6.827,541803.26,487755.29,542428.34,1.13
2016-06-30,6.88,6.88,6.83,6.8,460658.09,-0.05,-0.73,6.8,6.811,6.83,567514.31,518858.43,543634.45,1.09
2016-06-29,6.81,6.98,6.87,6.8,883357.0,0.08,1.18,6.798,6.819,6.834,549550.01,622633.85,565186.33,2.08
2016-06-28,6.75,6.8,6.8,6.72,453444.12,0.01,0.15,6.786,6.806,6.828,432828.79,587082.37,534088.82,1.07
2016-06-27,6.69,6.82,6.8,6.69,431786.47,0.1,1.49,6.778,6.794,6.824,456760.41,573708.93,522327.78,1.02
