date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,7.96,8.02,8.01,7.86,419199.12,0.05,0.63,8.15,8.134,7.856,463943.96,512887.41,505011.63,0.77
2016-10-17,8.2,8.27,7.95,7.9,515658.97,-0.25,-3.05,8.156,8.116,7.811,454105.07,512963.75,495607.32,0.95
2016-10-14,8.2,8.35,8.2,8.14,317022.69,-0.04,-0.48,8.192,8.076,7.773,471074.29,506440.02,483746.85,0.58
2016-10-13,8.28,8.33,8.25,8.18,371493.5,-0.09,-1.08,8.176,8.039,7.727,462874.71,515898.38,485457.03,0.68
2016-10-12,8.0,8.35,8.34,7.93,696345.5,0.3,3.73,8.15,7.997,7.678,495875.21,555414.76,483041.24,1.28
2016-10-11,8.09,8.16,8.04,7.97,370004.69,-0.1,-1.23,8.118,7.917,7.623,561830.86,516434.3,465591.45,0.68
2016-10-10,8.14,8.19,8.13,7.83,600505.06,0.01,0.12,8.076,7.867,7.586,571822.42,521330.78,466852.55,1.1
2016-09-30,8.08,8.18,8.12,8.03,276024.81,0.0,0.0,7.96,7.815,7.535,541805.74,524781.28,451611.04,0.51
2016-09-29,8.18,8.25,8.12,7.96,536496.0,-0.04,-0.49,7.902,7.73,7.49,568922.04,532997.44,455352.26,0.99
2016-09-28,7.88,8.25,8.18,7.85,1026123.75,0.36,4.6,7.844,7.659,7.445,614954.31,550370.29,461552.21,1.89
2016-09-27,7.5,7.83,7.83,7.46,419962.5,0.28,3.71,7.716,7.578,7.394,471037.74,497135.86,450961.81,0.77
2016-09-26,7.83,7.85,7.55,7.52,450421.66,-0.28,-3.58,7.658,7.505,7.35,470839.14,478250.89,456679.96,0.83
2016-09-23,7.8,7.85,7.83,7.73,411606.31,0.0,0.0,7.67,7.469,7.311,507756.81,461053.68,446174.67,0.76
2016-09-22,7.62,7.85,7.83,7.62,766657.31,0.28,3.71,7.558,7.414,7.257,497072.83,455015.68,434010.44,1.41
2016-09-21,7.56,7.64,7.54,7.46,306540.91,-0.03,-0.4,7.474,7.358,7.204,485786.28,410667.72,403956.72,0.56
2016-09-20,7.58,7.67,7.54,7.45,418969.53,-0.07,-0.92,7.44,7.329,7.164,523233.98,414748.59,396866.97,0.77
2016-09-19,7.32,7.62,7.61,7.28,635010.0,0.33,4.53,7.352,7.305,7.126,485662.64,412374.31,386092.73,1.17
2016-09-14,7.33,7.53,7.27,7.2,358186.38,-0.13,-1.76,7.268,7.254,7.088,414350.55,378440.81,368831.16,0.66
2016-09-13,7.33,7.55,7.41,7.22,710224.56,0.04,0.54,7.27,7.249,7.065,412958.54,377707.08,363881.67,1.3
2016-09-12,7.01,7.39,7.37,6.92,493779.44,0.27,3.8,7.242,7.23,7.038,335549.17,372734.12,345659.81,0.91
2016-09-09,7.18,7.19,7.1,7.06,231112.8,-0.08,-1.11,7.218,7.21,7.016,306263.2,404787.75,344295.44,0.42
2016-09-08,7.25,7.35,7.19,7.12,278449.56,-0.09,-1.24,7.258,7.195,7.002,339085.98,435109.02,344511.1,0.51
2016-09-07,7.29,7.39,7.28,7.2,351226.34,0.01,0.14,7.24,7.153,6.984,342531.06,431295.66,352233.2,0.65
2016-09-06,7.24,7.33,7.27,7.11,323177.69,0.02,0.28,7.228,7.1,6.96,342455.62,413005.2,351559.61,0.59
2016-09-05,7.38,7.38,7.25,7.17,347349.62,-0.05,-0.69,7.218,7.049,6.933,409919.08,397245.71,355613.13,0.64
2016-09-02,7.08,7.31,7.3,7.07,395226.69,0.19,2.67,7.202,6.999,6.899,503312.31,378985.35,346483.08,0.73
2016-09-01,7.19,7.27,7.1,7.1,295674.97,-0.12,-1.66,7.132,6.947,6.859,531132.07,359811.15,334611.16,0.54
