date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,8.19,8.7,8.66,8.16,817638.44,0.43,5.22,8.46,8.225,8.211,527129.23,414625.06,475283.57,1.97
2016-10-17,8.54,8.55,8.23,8.15,417428.12,-0.26,-3.06,8.366,8.152,8.213,412221.69,405491.24,455323.74,1.01
2016-10-14,8.51,8.64,8.5,8.37,441880.69,0.02,0.24,8.364,8.144,8.249,410484.54,419475.23,461272.94,1.07
2016-10-13,8.45,8.61,8.49,8.34,516563.88,0.08,0.95,8.246,8.141,8.265,378848.43,430246.24,497254.8,1.25
2016-10-12,8.18,8.44,8.42,8.16,442135.0,0.23,2.81,8.112,8.116,8.27,330369.64,417991.14,512679.66,1.07
2016-10-11,8.23,8.27,8.19,8.15,243100.77,-0.04,-0.49,7.99,8.085,8.263,302120.89,399956.73,508237.04,0.59
2016-10-10,7.96,8.31,8.22,7.96,408742.34,0.31,3.92,7.938,8.078,8.261,398760.79,415466.27,510847.27,0.99
2016-09-30,7.78,7.94,7.91,7.77,283700.16,0.1,1.28,7.924,8.076,8.255,428465.93,416807.08,509887.13,0.68
2016-09-29,7.78,7.94,7.82,7.78,274169.94,0.01,0.13,8.036,8.089,8.275,481644.06,433615.81,514130.83,0.66
2016-09-28,7.91,7.93,7.81,7.75,300891.22,-0.13,-1.64,8.12,8.129,8.299,505612.64,487740.13,522843.78,0.73
2016-09-27,8.1,8.17,7.93,7.67,726300.31,-0.21,-2.58,8.18,8.196,8.327,497792.57,535942.09,562976.45,1.75
2016-09-26,8.4,8.59,8.15,8.12,557268.0,-0.32,-3.78,8.218,8.273,8.341,432171.75,505156.24,567391.28,1.34
2016-09-23,8.25,8.53,8.47,8.2,549590.81,0.23,2.79,8.228,8.353,8.33,405148.24,503070.66,556125.85,1.32
2016-09-22,8.19,8.3,8.24,8.13,394012.88,0.13,1.6,8.142,8.388,8.307,385587.56,564263.35,545408.02,0.95
2016-09-21,8.11,8.17,8.11,8.0,261790.84,-0.01,-0.12,8.138,8.424,8.3,469867.63,607368.17,545002.66,0.63
2016-09-20,8.22,8.37,8.12,8.06,398196.22,-0.08,-0.98,8.212,8.44,8.296,574091.61,616517.35,560278.77,0.96
2016-09-19,8.09,8.29,8.2,8.08,422150.44,0.17,2.12,8.328,8.443,8.296,578140.73,606228.26,565738.22,1.02
2016-09-14,8.13,8.15,8.04,7.91,451787.44,-0.17,-2.07,8.478,8.433,8.296,600993.08,602967.19,570193.51,1.09
