date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,25.44,25.96,25.86,25.04,182010.67,0.36,1.41,25.68,25.169,24.301,217384.37,189612.06,151907.13,2.45
2016-10-17,26.01,26.89,25.5,25.4,257438.81,-0.51,-1.96,25.65,24.97,24.193,232467.29,183279.24,148392.28,3.46
2016-10-14,25.75,26.99,25.99,25.6,328926.47,0.4,1.56,25.57,24.755,24.137,218961.81,171015.08,141821.71,4.42
2016-10-13,25.37,26.09,25.6,25.22,193358.69,0.15,0.59,25.19,24.59,24.042,174731.9,158595.81,135037.51,2.6
2016-10-12,25.39,25.54,25.45,25.13,125187.21,-0.26,-1.01,24.91,24.385,23.987,158199.56,150700.25,135700.23,1.68
2016-10-11,25.19,25.9,25.71,24.87,257425.28,0.59,2.35,24.658,24.217,23.937,161839.74,154049.93,143263.74,3.46
2016-10-10,24.36,25.14,25.1,24.16,189911.39,0.99,4.11,24.29,23.952,23.811,134091.19,132752.01,140413.75,2.55
2016-09-30,24.09,24.38,24.09,23.92,107776.91,-0.1,-0.41,23.94,23.755,23.689,123068.35,121261.6,134431.42,1.45
2016-09-29,24.08,24.42,24.2,23.92,110697.03,0.0,0.0,23.99,23.665,23.636,142459.73,119460.65,134563.0,1.49
2016-09-28,23.8,24.42,24.19,23.61,143388.11,0.29,1.21,23.86,23.553,23.554,143200.93,114633.17,132013.25,1.93
2016-09-27,23.02,23.94,23.87,22.95,118682.52,0.52,2.23,23.776,23.433,23.48,146260.12,114202.21,127066.09,1.59
2016-09-26,24.33,24.36,23.35,23.26,134797.2,-0.96,-3.95,23.614,23.416,23.421,131412.83,113505.31,124101.83,1.81
2016-09-23,23.67,24.45,24.34,23.56,204733.77,0.78,3.31,23.57,23.519,23.392,119454.85,112628.34,121312.21,2.75
2016-09-22,23.69,23.97,23.55,23.51,114403.05,-0.22,-0.93,23.34,23.494,23.335,96461.58,111479.21,114426.57,1.54
2016-09-21,23.75,24.45,23.77,23.48,158684.06,0.72,3.12,23.246,23.589,23.312,86065.41,120700.21,112481.52,2.13
2016-09-20,23.18,23.25,23.06,22.82,44446.08,-0.07,-0.3,23.09,23.656,23.265,82144.29,132477.55,109105.65,0.6
2016-09-19,23.47,23.49,23.13,22.9,75007.29,-0.09,-0.39,23.218,23.669,23.294,95597.79,148075.5,112610.53,1.01
