date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-18,7.63,7.78,7.77,7.62,95776.45,0.11,1.44,7.736,7.729,7.694,140510.15,167241.57,194331.95,0.28
2016-10-17,7.77,7.81,7.66,7.63,108668.03,-0.1,-1.29,7.704,7.755,7.682,161451.11,196279.6,197544.43,0.32
2016-10-14,7.7,7.81,7.76,7.63,156158.12,0.03,0.39,7.678,7.771,7.683,203105.33,216171.07,198699.36,0.46
2016-10-13,7.76,7.83,7.73,7.62,149435.62,-0.03,-0.39,7.69,7.779,7.678,194541.01,233523.12,197964.68,0.44
2016-10-12,7.65,7.85,7.76,7.59,192512.52,0.15,1.97,7.708,7.784,7.675,191365.97,250476.93,199821.97,0.57
2016-10-11,7.54,7.69,7.61,7.44,200481.25,0.08,1.06,7.722,7.773,7.67,193973.0,243277.93,197905.95,0.6
2016-10-10,7.68,7.71,7.53,7.31,316939.16,-0.29,-3.71,7.806,7.781,7.667,231108.1,247255.0,196541.19,0.94
2016-09-30,7.81,7.88,7.82,7.76,113336.5,0.0,0.0,7.864,7.788,7.671,229236.8,228604.79,197384.21,0.34
2016-09-29,7.81,7.89,7.82,7.78,133560.41,-0.01,-0.13,7.868,7.747,7.675,272505.23,229111.55,210820.05,0.4
2016-09-28,8.04,8.05,7.83,7.81,205547.66,-0.2,-2.49,7.86,7.705,7.675,309587.9,226375.71,213954.3,0.61
2016-09-27,7.83,8.1,8.03,7.7,386156.75,0.21,2.69,7.824,7.659,7.669,292582.86,221422.33,211942.55,1.15
2016-09-26,7.83,8.04,7.82,7.77,307582.69,-0.02,-0.26,7.756,7.608,7.654,263401.9,198809.25,200606.11,0.91
2016-09-23,7.84,7.93,7.84,7.68,329678.62,0.06,0.77,7.712,7.595,7.65,227972.78,181227.64,202898.34,0.98
2016-09-22,7.74,7.93,7.78,7.71,318973.78,0.13,1.7,7.626,7.576,7.658,185717.87,162406.24,199268.77,0.95
2016-09-21,7.69,7.73,7.65,7.62,120522.46,-0.04,-0.52,7.55,7.565,7.676,143163.52,149167.01,194071.55,0.36
2016-09-20,7.56,7.8,7.69,7.56,240251.97,0.09,1.18,7.494,7.566,7.701,150261.8,152533.97,202598.0,0.71
2016-09-19,7.43,7.6,7.6,7.42,130437.09,0.19,2.56,7.46,7.553,7.724,134216.59,145827.37,210373.72,0.39
2016-09-14,7.37,7.51,7.41,7.34,118404.03,0.01,0.14,7.478,7.553,7.761,134482.5,166163.63,254228.92,0.35
2016-09-13,7.39,7.43,7.4,7.35,106202.07,0.03,0.41,7.526,7.602,7.798,139094.61,192528.56,274588.05,0.32
2016-09-12,7.33,7.4,7.37,7.31,156013.83,-0.15,-2.0,7.58,7.644,7.845,155170.5,201532.88,311627.62,0.46
2016-09-09,7.65,7.7,7.52,7.51,160025.95,-0.17,-2.21,7.638,7.679,7.905,154806.14,202462.77,373659.91,0.48
2016-09-08,7.63,7.78,7.69,7.63,131766.62,0.04,0.52,7.646,7.7,7.935,157438.15,202402.98,411716.17,0.39
2016-09-07,7.66,7.73,7.65,7.62,141464.56,-0.02,-0.26,7.628,7.705,7.92,197844.76,224569.04,411380.11,0.42
2016-09-06,7.65,7.67,7.67,7.44,186581.52,0.01,0.13,7.678,7.74,7.911,245962.52,236131.31,413193.97,0.55
2016-09-05,7.6,7.76,7.66,7.55,154192.06,0.1,1.32,7.708,7.787,7.91,247895.27,238976.09,419274.21,0.46
2016-09-02,7.58,7.67,7.56,7.51,173185.97,-0.04,-0.53,7.72,7.836,7.907,250119.4,252662.04,433760.71,0.51
2016-09-01,7.82,7.87,7.6,7.59,333799.69,-0.3,-3.8,7.754,7.895,7.894,247367.81,274920.07,439462.75,0.99
2016-08-31,7.82,8.08,7.9,7.74,382053.34,0.08,1.02,7.782,7.969,7.878,251293.33,342294.2,437233.71,1.14
2016-08-30,7.74,7.88,7.82,7.71,196245.27,0.1,1.29,7.802,7.994,7.842,226300.1,356647.55,424511.72,0.58
2016-08-29,7.7,7.78,7.72,7.67,165312.72,-0.01,-0.13,7.866,8.045,7.807,230056.92,421722.35,419456.75,0.49
2016-08-26,7.77,7.83,7.73,7.71,159428.05,-0.01,-0.13,7.952,8.131,7.772,255204.68,544857.04,417386.88,0.47
2016-08-25,7.9,7.91,7.74,7.65,353427.25,-0.26,-3.25,8.036,8.17,7.734,302472.33,621029.36,413390.56,1.05
2016-08-24,8.14,8.17,8.0,7.92,257087.22,-0.14,-1.72,8.156,8.134,7.697,433295.08,598191.18,401140.22,0.76
2016-08-23,8.05,8.15,8.14,8.01,215029.36,-0.01,-0.12,8.186,8.081,7.644,486994.99,590256.62,399485.55,0.64
2016-08-22,8.18,8.29,8.15,8.03,291051.53,0.0,0.0,8.224,8.033,7.598,613387.78,599572.33,397782.22,0.87
2016-08-19,8.23,8.32,8.15,8.02,395766.31,-0.19,-2.28,8.31,7.978,7.543,834509.4,614859.39,386735.49,1.18
2016-08-18,8.2,8.73,8.34,8.16,1007541.0,0.19,2.33,8.304,7.893,7.486,939586.39,604005.42,372142.98,3.0
2016-08-17,8.37,8.37,8.15,8.12,525586.75,-0.18,-2.16,8.112,7.787,7.424,763087.28,532173.21,326495.36,1.56
2016-08-16,8.59,8.6,8.33,8.31,846993.31,-0.25,-2.91,7.976,7.69,7.371,693518.25,492375.9,304934.14,2.52
2016-08-15,8.28,8.9,8.58,8.22,1396659.62,0.46,5.67,7.842,7.569,7.311,585756.88,417191.15,267441.32,4.15
2016-08-12,7.41,8.12,8.12,7.4,921151.25,0.74,10.03,7.646,7.412,7.238,395209.38,289916.72,204301.16,2.74
2016-08-11,7.44,7.49,7.38,7.38,125045.48,-0.09,-1.21,7.482,7.298,7.193,268424.45,205751.76,165373.66,0.37
2016-08-10,7.6,7.63,7.47,7.43,177741.61,-0.19,-2.48,7.462,7.259,7.183,301259.15,204089.26,168690.38,0.53
2016-08-09,7.62,7.81,7.66,7.46,308186.44,0.06,0.79,7.404,7.206,7.169,291233.55,208714.47,173561.16,0.92
2016-08-08,7.29,7.88,7.6,7.22,443922.12,0.3,4.11,7.296,7.162,7.138,248625.43,195992.12,164504.72,1.32
2016-08-05,7.29,7.41,7.3,7.18,287226.62,0.02,0.28,7.178,7.108,7.104,184624.06,158611.6,147513.35,0.85
2016-08-04,7.23,7.3,7.28,7.15,289218.94,0.1,1.39,7.114,7.078,7.086,143079.07,140280.54,137070.52,0.86
2016-08-03,7.12,7.24,7.18,7.07,127613.64,0.06,0.84,7.056,7.061,7.07,106919.38,120817.51,128587.36,0.38
2016-08-02,7.02,7.12,7.12,7.01,95145.82,0.11,1.57,7.008,7.052,7.062,126195.38,117492.37,132509.89,0.28
2016-08-01,6.95,7.02,7.01,6.88,123915.3,0.03,0.43,7.028,7.053,7.054,143358.8,117691.49,136346.61,0.37
2016-07-29,6.98,7.03,6.98,6.95,79501.66,-0.01,-0.14,7.038,7.064,7.049,132599.13,118685.59,141035.64,0.24
