Event,Site,Date,EventDate,ECO,Round,White,Black,Result,Moves
World Championship 1st,USA,1886.01.11,1886.01.11,D11,1,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 b1c3 e7e6 g1f3 b8d7 a2a3 f8d6 c4c5 d6c7 b2b4 e6e5 f1e2 g8f6 c1b2 e5e4 f3d2 h7h5 h2h3 d7f8 a3a4 f8g6 b4b5 g6h4 g2g3 h4g2 e1f1 g2e3 f2e3 c7g3 f1g2 g3c7 d1g1 h8h6 g2f1 h6g6 g1f2 d8d7 b5c6 b7c6 h1g1 f5h3 f1e1 f6g4 e2g4 h3g4 c3e2 d7e7 e2f4 g6h6 b2c3 g7g5 f4e2 h6f6 f2g2 f6f3 d2f1 a8b8 e1d2 f7f5 a4a5 f5f4 g1h1 e7f7 a1e1 f4e3 f1e3 f3f2 g2f2 f7f2 e3g4 c7f4 d2c2 h5g4 c3d2 e4e3 d2c1 f2g2 c2c3 e8d7 h1h7 d7e6 h7h6 e6f5 c1e3 f4e3 e1f1 e3f4
World Championship 1st,USA,1886.01.13,1886.01.11,C47,2,"Steinitz, Wilhelm","Zukertort, Johannes H",0-1,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 b1c3 f8b4 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5 e1g1 e8g8 c1g5 c7c6 c3e2 b4d6 e2g3 h7h6 g5d2 f6g4 d3e2 d8h4 e2g4 c8g4 d1c1 g4e2 f1e1 e2a6 d2c3 f7f5 e1e6 a8d8 c1d2 d5d4 c3a5 d8d7 e6d6 d7d6 a5b4 h4f6 a1d1 d6d5 b4f8 f6f8 g3h5 f8e8 h5f4 d5e5 h2h4 c6c5 h4h5 e5e4 c2c3 e8b8 g2g3 b8e5 f4g6 e5d6 g6f4 d4d3 b2b3 c5c4 d1b1 g8h7 g1h2 d6b6 h2g1 a6b7 b1b2 b6c6 f2f3 c6c5 d2f2 e4e1 g1h2 c5f2 b2f2 b7f3 g3g4 f3e2 f4g2 d3d2 g2e3 c4b3 a2b3 e2g4
World Championship 1st,USA,1886.01.15,1886.01.11,D10,3,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 a2a3 e7e6 c4c5 a7a5 d1b3 d8c7 b1c3 b8d7 c3a4 g8f6 g1e2 f8e7 e2g3 f5g6 c1d2 e8g8 f1e2 f8b8 e1g1 b7b6 c5b6 d7b6 a4b6 b8b6 b3c3 c7b7 a1a2 f6d7 e2d1 c6c5 d1a4 c5c4 c3c1 d7f6 d2c3 e7d6 f2f3 b7b8 f3f4 g6d3 f1e1 h7h5 h2h4 b8d8 a4d1 g7g6 c1d2 b6b8 d2f2 d6e7 d1f3 f6e4 f3e4 d5e4 g3h1 e7h4 g2g3 h4e7 f2d2 d8d5 h1f2 a5a4 g1g2 b8b3 e1h1 g8g7 a2a1 e7d8 g3g4 h5g4 f2g4 d8a5 h1h7 g7f8 h7h8 f8g7 h8h7 g7f8 d2f2 a5d8 g4e5 f8g8 a1h1 d8f6 h7f7 a8f8 f7f6
World Championship 1st,USA,1886.01.18,1886.01.11,C67,4,"Steinitz, Wilhelm","Zukertort, Johannes H",0-1,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 c6e5 e1e5 f8e7 b5f1 e8g8 d2d4 e7f6 e5e1 f8e8 c2c3 e8e1 d1e1 d6f5 c1f4 d7d6 b1d2 c8e6 f1d3 f5h4 d2e4 h4g6 f4d2 d6d5 e4c5 e6c8 e1e3 b7b6 c5b3 d8d6 e3e8 g6f8 a1e1 c8b7 e8e3 f8e6 e3f3 a8d8 f3f5 e6f8 d2f4 d6c6 b3d2 b7c8 f5h5 g7g6 h5e2 f8e6 f4g3 c6b7 d2f3 c7c5 d4c5 b6c5 f3e5 c5c4 d3b1 f6g7 e1d1 c8d7 e2f3 d7e8 e5c4 d5c4 d1d8 e6d8 f3e2 d8e6
World Championship 1st,USA,1886.01.20,1886.01.11,D10,5,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 f5c8 g1f3 b8c6 f3e5 e7e6 f1b5 d8c7 c1d2 f8d6 f2f4 e8g8 a1c1 d6e5 f4e5 f6e8 e1g1 f7f6 b5d3 f8f7 b3c2 f6f5 c3e2 c8d7 f1f2 a8c8 d2c3 c7b6 c2d2 c6e7 c1f1 d7b5 d3b1 b6a6 g2g4 g7g6 h2h3 c8c7 f1e1 e8g7 e2f4 e7c8 g4f5 g6f5 f2g2 g8h8 g1h2 a6c6 e1g1 c8e7 d2f2 c6e8 g2g7
World Championship 1st,USA,1886.02.03,1886.01.11,C67,6,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 c6e5 e1e5 f8e7 b1c3 e8g8 b5d3 e7f6 e5e3 g7g6 b2b3 f8e8 d1f3 f6g5 e3e8 d6e8 c1b2 c7c6 c3e4 g5e7 f3e3 d7d5 e3d4 f7f6 e4g3 c8e6 a1e1 e8g7 h2h4 d8d7 h4h5 e6f7 h5g6 f7g6 d4e3 g8f7 e3f4 a8e8 e1e3 g7e6 f4g4 e6f8 g3f5 e7c5 f5h6 f7g7 h6f5 g7f7 f5h6 f7g7 h6f5 g7f7 f5h6 f7g7 h6f5 g7f7 f5h6 f7g7 d3g6 d7g4 h6g4 e8e3 f2e3 g7g6 g4f6 c5b4 d2d3 f8e6 g1f2 h7h5 g2g4 h5h4 f6h5 b4d6 f2g2 c6c5 b2f6 e6g5 f6g5 g6g5 g2h3 d6e5 h5f4 d5d4 f4e6 g5f6 e3d4 c5d4 e6c5 f6g5 c5b7 g5f4 b7a5 e5f6 a5c6 f4e3 c6a7 e3d2 a7c6 d2c2 a2a4 c2d3 c6b4 d3e2 a4a5 f6e7 b4d5 e2f3 d5e7 d4d3 e7d5
World Championship 1st,USA,1886.02.05,1886.01.11,D40,7,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 e2e3 c7c5 g1f3 b8c6 a2a3 d5c4 f1c4 c5d4 e3d4 f8e7 e1g1 e8g8 c1e3 c8d7 d1d3 a8c8 a1c1 d8a5 c4a2 f8d8 f1e1 d7e8 a2b1 g7g6 d3e2 e7f8 e1d1 f8g7 b1a2 c6e7 e2d2 a5a6 e3g5 e7f5 g2g4 f5d4 f3d4 e6e5 c3d5 c8c1 d2c1 e5d4 d1d4 f6d5 d4d5 d8d5 a2d5 a6e2 h2h3 h7h6 d5c4 e2f3 c1e3 f3d1 g1h2 e8c6 g5e7 g7e5 f2f4 e5f4 e3f4 d1h1 h2g3 h1g1
World Championship 1st,USA,1886.02.08,1886.01.11,C67,8,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5d3 e8g8 d1h5 f7f5 b1c3 c6e5 e1e5 g7g6 h5f3 c7c6 b2b3 d6f7 e5e2 d7d5 c1b2 e7f6 a1e1 d8d6 e2e8 c8d7 e8a8 f8a8 c3d1 f7g5 f3e2 a8e8 e2f1 f6b2 e1e8 d7e8 d1b2
World Championship 1st,USA,1886.02.10,1886.01.11,D26,9,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 d5c4 e2e3 c7c5 f1c4 c5d4 e3d4 f8e7 e1g1 e8g8 d1e2 b8d7 c4b3 d7b6 c1f4 b6d5 f4g3 d8a5 a1c1 c8d7 f3e5 f8d8 e2f3 d7e8 f1e1 a8c8 g3h4 d5c3 b2c3 a5c7 f3d3 f6d5 h4e7 c7e7 b3d5 d8d5 c3c4 d5d8 e1e3 e7d6 c1d1 f7f6 e3h3 h7h6 e5g4 d6f4 g4e3 e8a4 h3f3 f4d6 d1d2 a4c6 f3g3 f6f5 g3g6 c6e4 d3b3 g8h7 c4c5 c8c5 g6e6 c5c1 e3d1 d6f4 b3b2 c1b1 b2c3 d8c8 e6e4 f4e4
World Championship 1st,USA,1886.02.26,1886.01.11,C67,10,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5d3 e8g8 b1c3 c6e5 e1e5 c7c6 b2b3 f8e8 c1a3 e7f8 e5e3 e8e3 f2e3 d6e4 a3f8 e4c3 d1h5 g7g6 h5e5 d8f8 e5c3 f8g7 c3g7 g8g7 e3e4 d7d6 a1e1 c8d7 g1f2 a8e8
World Championship 1st,USA,1886.03.01,1886.01.11,C49,11,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 c3d5 f6d5 e4d5 e5e4 d5c6 e4f3 d1f3 d7c6 b5d3 b4d6 b2b3 d8g5 c1b2 g5d2 b2c1 d2a5 c1f4 c8e6 a1e1 f8e8 e1e3 e6d5 d3h7 g8h7 f3h5 h7g8 e3h3 f7f6 h5h7 g8f7 h7h5 f7f8 h5h8 f8f7 h8h5 f7f8 h5h8 f8f7 h8h5 f7f8 h5h8 f8f7 h8h5 f7f8 h5h8 f8f7 h8h5 f7f8 h5h8 f8f7 h8h5 f7e7 h3e3 e7f8 h5h8 d5g8 f4h6 e8e7 e3e7 f8e7 h6g7 a5f5 f1e1 e7f7 g7h6 f5h7 h8h7 g8h7 c2c4 a7a5 h6e3 c6c5 e1d1 a5a4
World Championship 1st,USA,1886.03.03,1886.01.11,C67,12,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5c6 d7c6 d1e2 c8e6 d2d3 d6f5 b1d2 e8g8 c2c3 f8e8 d2e4 d8d5 c1f4 a8d8 d3d4 f5d6 e4c5 e6c8 c5d3 f7f6 d3b4 d5b5 e2b5 d6b5 e5d3 c8f5 a2a4 b5d6 a4a5 d6b5 a5a6 f5d3 b4d3 b7b6 e1e3 g8f7 a1e1 d8d7 d3b4 g7g5 f4g3 f6f5 f2f4 c6c5 b4c6 c5d4 c3d4 f7f8 e3e5 b5d4 c6d4 d7d4 e5f5 f8g7 f4g5 e7c5 f5c5 e8e1 g3e1 b6c5 e1c3 g7g6 c3d4 c5d4 h2h4 g6f5 g1f2 f5e4 f2e2 c7c5 b2b3 e4e5 e2d3 e5f4 b3b4
World Championship 1st,USA,1886.03.05,1886.01.11,D26,13,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1f4 c7c5 e2e3 c5d4 e3d4 d5c4 f1c4 b8c6 g1f3 f8e7 e1g1 e8g8 f1e1 c8d7 d1e2 d8a5 c3b5 a7a6 f4c7 b7b6 b5c3 f8c8 c7f4 b6b5 c4b3 a5b6 e1d1 c6a5 b3c2 a5c4 c2d3 c4d6 f3e5 d7e8 f4g5 b6d8 e2f3 a8a7 f3h3 h7h6 g5e3 a7c7 d4d5 b5b4 c3e2 f6d5 d3a6 c8a8 a6d3 e7f6 e3d4 d6b5 e5f3 b5d4 f3d4 a8a5 h3f3 e8a4 d1e1 d5e7 f3e4 g7g6 b2b3 a4e8 d3c4 e7f5 d4e6 f7e6 c4e6 g8g7 a1d1 d8e7 e2f4 a5e5 e4b1 e5e1 d1e1 f6c3 f4d5 e7c5 d5c7 c5c7 e1d1 f5d4 e6c4 e8c6 b1d3 c6a8 d3e3 c7d6 a2a3 a8c6 a3b4 d6f6 g1f1 d4b5 e3e6 f6e6 c4e6 c3b4 e6d7 b5c3 d1d4 c6d7 d4d7 g7f6 d7d4 b4e7 b3b4 f6e5 d4c4 c3b5 c4c6 e7d6 c6b6 b5d4 b6b7 g6g5 b4b5 e5d5 b5b6 d5c6 b7h7 c6b6 h7h6 b6c7 h2h4 g5h4 h6h4 d4f5 h4h7 c7d8 g2g4 f5e7 f1g2 d8e8 g2f3 d6c5 h7h5 c5d4 f3g3 e8f7 f2f4 d4c3 h5b5 c3e1 g3f3 e1c3 g4g5 c3a1 f3g4 a1c3 f4f5 c3d4 b5b7 d4c3 g4h5 c3d4 h5h6 d4g7 h6h7 g7e5 g5g6 f7f8 b7e7
World Championship 1st,USA,1886.03.12,1886.01.11,C67,14,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5d3 e8g8 b1c3 c6e5 e1e5 c7c6 b2b3 d6e8 c1b2 d7d5 d1f3 e7f6 e5e2 e8c7 b2a3 f8e8 a1e1 c7e6 c3a4 c8d7 a4c5 e6c5 e2e8 d7e8 a3c5 b7b6 c5a3 e8d7 f3g3 c6c5 c2c3 d7e6 a3b2 d8d7 d3c2 a8e8 h2h3 b6b5 d2d4 c5d4 c3d4 e8c8 c2d3 e6f5 d3f5 d7f5 g3g4 f5g4 h3g4 h7h6 e1e2 b5b4 g2g3 a7a5 g1f1 a5a4 b3a4 c8a8 e2e1 a8a4 e1a1 g8f8 f1e2 f8e7 e2d3 a4a6 a2a3 b4a3 a1a3 a6a3 b2a3 e7d7 a3f8 d7e8 f8d6 g7g6 d6e5 f6d8 e5g7 h6h5 g4h5 g6h5 g7e5 e8d7
World Championship 1st,USA,1886.03.15,1886.01.11,D50,15,"Zukertort, Johannes H","Steinitz, Wilhelm",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 c7c5 c4d5 e6d5 g5f6 g7f6 e2e3 c8e6 d1b3 d8d7 f1b5 b8c6 e3e4 e8c8 e4d5 e6d5 c3d5 d7d5 b3d5 d8d5 b5c6 b7c6 d4c5 f8c5 g1f3 h8e8 e1f1 c5b6 g2g3 d5f5 f1g2 e8e2 h1f1 e2b2 a2a4 f5c5 f3g1 c5a5 a1a3 c8b7 g1h3 b6d4 f1e1 a5e5 e1d1 c6c5 a3f3 e5e2 d1f1 b2b6 h3f4 e2a2 f4d5 b6e6 d5f4 e6d6 f1b1 b7c6 b1b8 a2a4 b8h8 a4a2 h8h7 a7a5 h7f7 a5a4 h2h4 d6d7 f7d7 c6d7 h4h5 d7e7 h5h6 e7f7 h6h7 f7g7 f4e6 g7h7 e6d4 c5d4 f3d3 a2b2 d3d4 a4a3 d4a4 a3a2 g3g4 h7g6 g2g3 g6f7 f2f4
World Championship 1st,USA,1886.03.17,1886.01.11,C65,16,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 c2c3 g7g6 d3d4 c8d7 b1d2 f8g7 d4e5 c6e5 f3e5 d6e5 d1e2 e8g8 b5d3 d8e7 f2f3 d7c6 d2b3 a7a5 c1e3 f6d7 h2h4 a5a4 b3d2 h7h6 h4h5 g6g5 d2f1 d7c5 d3c2 f8d8 f1g3 c6d7 e1c1 c7c6 d1d2 d7e6 g3f5 e6f5 e4f5 d8d2 e2d2 c5d7 g2g4 d7f6 c2e4 a8d8 d2c2 f6d5 e3f2 b7b5 a2a3 g7f8 h1d1 e7b7 c3c4 b5c4 c2c4 d8b8 d1d2 d5b6 c4c3 b6d5 c3c4 d5b6 c4d3 f8e7 d2c2 b6d5 d3c4 e7a3 b2a3 b7b1 c1d2 b8d8 e4d5 d8d5 d2e3 d5b5 c4c6 b5b3 e3e2 g8h7 f5f6 b3b2 c2b2 b1b2 e2f1 b2a3 c6e8
World Championship 1st,USA,1886.03.19,1886.01.11,D60,17,"Zukertort, Johannes H","Steinitz, Wilhelm",1/2-1/2,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 g1f3 e8g8 e2e3 d5c4 f1c4 b8d7 e1g1 c7c5 d1e2 h7h6 g5h4 d7b6 d4c5 e7c5 f1d1 b6d7 e3e4 c5e7 e4e5 f6e8 h4g3 d8b6 a2a3 a7a5 a1c1 d7c5 g3f4 c8d7 f4e3 d7c6 f3d4 a8d8 d4b5 d8d1 c1d1 c6b5 c3b5 b6c6 b2b4 a5b4 a3b4 c5d7 b5d4 c6e4 d4e6 d7e5 e6f8 e5c4 f8d7 e7b4 e2d3 e4g4 h2h3 g4e6 d1b1 c4e3 d3e3 e6d7 b1b4 d7d1 g1h2 d1d6 e3f4 g8f8 f4d6 e8d6 h2g3 f8e7 g3f4 e7e6 h3h4 e6d5 g2g4 b7b5 b4b1 d5c5 b1c1 c5d5 f4e3 d6c4 e3e2 b5b4 c1b1 d5c5 f2f4 c4a3 b1c1 c5d4 c1c7 b4b3 c7b7 d4c3 b7c7 c3d4 c7b7 d4c3
World Championship 1st,USA,1886.03.22,1886.01.11,C65,18,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 c2c3 g7g6 d3d4 c8d7 b1d2 f8g7 d4e5 c6e5 f3e5 d6e5 d1e2 e8g8 f2f3 a7a5 b5d3 d8e7 d2f1 d7e6 g2g4 f8d8 h2h4 e7d7 d3c2 h7h5 g4g5 f6e8 f1e3 d7c6 c3c4 e8d6 c2d3 a8b8 e3d5 e6d5 c4d5 c6d7 c1d2 b8a8 a1c1 c7c6 c1c5 c6d5 c5d5 d7a4 a2a3 b7b6 d2c3 a4e8 e2f2 d6c8 d3b5 e8e7 d5d8 e7d8 e1g1 c8a7 b5c4 a7c6 c4d5 a8c8 f3f4 d8d7 f4f5 c6e7 d5a2 g6f5 e4f5 g7f8 f2f3 e5e4 f3h5
World Championship 1st,USA,1886.03.24,1886.01.11,D53,19,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 g1f3 e8g8 c4c5 b7b6 b2b4 b6c5 d4c5 a7a5 a2a3 d5d4 g5f6 g7f6 c3a4 e6e5 b4b5 c8e6 g2g3 c7c6 b5c6 b8c6 f1g2 a8b8 d1c1 d4d3 e2e3 e5e4 f3d2 f6f5 e1g1 f8e8 f2f3 c6d4 e3d4 d8d4 g1h1 e4e3 a4c3 e7f6 d2b1 d3d2 c1c2 e6b3 c2f5 d2d1q c3d1 b3d1 b1c3 e3e2 a1d1 d4c3
World Championship 1st,USA,1886.03.29,1886.01.11,C25,20,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,e2e4 e7e5 b1c3 b8c6 f2f4 e5f4 d2d4 d7d5 e4d5 d8h4 e1e2 h4e7 e2f2 e7h4 g2g3 f4g3 f2g2 c6d4 h2g3 h4g4 d1e1 f8e7 f1d3 d4f5 g1f3 c8d7 c1f4 f7f6 c3e4 g8h6 f4h6 f5h6 h1h6 g7h6 e4f6 e8f7 f6g4
World Championship 2nd,Havana CUB,1889.01.20,1889.01.20,C52,1,"Chigorin, Mikhail I","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 f3g5 c6d8 f2f4 e5d4 c3d4 a5b6 c1e3 d7d5 c4d5 e7d5 e4d5 e8g8 b1c3 f8e8 g5e4 f6g6 e3f2 c7c6 f1e1 c8d7 e4c5 e8e1 d1e1 g6d6 e1e3 c6d5 c5d7 d6d7 c3d5 d8c6 d5b6 a7b6 a1e1 h7h6 d4d5 c6b4 e1d1 b4d5 e3e5 a8a2 d1d5 a2a1 e5a1 d7d5 f2b6 d5e4 g2g3 h6h5 a1d4 e4f3 d4e3 f3d1 g1g2 d1c2 e3f2 c2c6 g2g1 h5h4 f2c5 h4g3 h2g3 c6e4 g1f2 e4h1 c5c8 g8h7 c8g4 h1h2 f2f1 h2h1 b6g1 h1d5 g4h3 h7g8 h3c8 g8h7 c8c5 d5d3 f1g2 d3d7 g1d4 f7f6 g2f3 b7b5 g3g4 d7b7 f3g3 b5b4 c5f5 h7g8 g4g5 f6g5 f5e6 g8h7 f4g5 b7c7 g3g4 g7g6 e6f6 c7c8 g4h4
World Championship 2nd,Havana CUB,1889.01.22,1889.01.20,D02,2,"Steinitz, Wilhelm","Chigorin, Mikhail I",1-0,g1f3 d7d5 d2d4 c8g4 f3e5 g4h5 d1d3 d8c8 c2c4 f7f6 e5f3 e7e6 b1c3 h5g6 d3d1 c7c6 e2e3 f8d6 c1d2 g8e7 a1c1 b8d7 f3h4 f6f5 g2g4 d7f6 h2h3 f6e4 f1d3 f5g4 h4g6 e7g6 d3e4 d5e4 c3e4 d6e7 h3g4 e6e5 d4d5 c8d7 d2c3 a8d8 h1h5 c6d5 c4d5 e8g8 d5d6 d7e6 d1b3 e6b3 a2b3 e7d6 e4d6 d8d6 c3b4 d6b6 b4f8 g8f8 c1c8 f8f7 c8c7 f7f6 h5f5 f6e6 f5f7 b6b4 c7b7 b4g4 f7g7 h7h5 b7a7 e6f5 f2f3 g4g2 a7a6
World Championship 2nd,Havana CUB,1889.01.24,1889.01.20,C62,3,"Chigorin, Mikhail I","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 d4e5 d6e5 e1g1 f8d6 b1c3 g8e7 c1g5 f7f6 g5e3 e8g8 b5c4 g8h8 c3b5 e7c8 d1d2 d8e8 a1d1 d7g4 c4e2 c6d8 c2c4 d8e6 h2h3 g4h5 c4c5 d6e7 d2d5 e8c6 e2c4 h5e8 a2a4 e6c5 e3c5 e7c5 d5c6 e8c6 b5c7 c8d6 c4b3 c6e4 c7a8 e4f3 g2f3 f8a8 d1d5 b7b6 f1d1 a8d8 g1g2 a7a5 b3c2 g7g6 h3h4 h8g7 f3f4 e5f4 g2f3 f6f5 f3f4 g7f6 c2b3 h7h6 h4h5 g6h5 b3c2 f6e7 d5e5 e7f8 e5f5 f8e7 f5e5 e7d7 f2f3 h5h4 f4g4 d8g8 g4h4 g8g2 c2f5 d7c6 b2b3 c5f2 h4h3 g2g3 h3h2 g3f3 h2g2 f3f4 f5e6 f2c5 e6d5 c6d7 e5e6 d6f5 d5c4 d7c7 d1d3 h6h5 c4b5 f4g4 g2h2 g4h4 d3h3 c5d6 h2g2 h4g4 g2f1 f5g3 f1f2 h5h4 e6h6 g4f4 f2g2 d6e7 h6c6 c7b7 c6c4 f4f8 c4d4 b7c8 d4d7 e7d8 h3h2 g3e4 d7g7 e4c5 h2h3 d8f6 g7g6 f6d8 b5c4 f8f4 h3f3 f4d4 g6g7 c8b8 f3f7 d4d6 g2h3 d6d2 g7h7 d2d6 c4f1 c5e6 f7d7 d6c6 h3g4 c6c7 f1c4 c7c4 b3c4 b8c8 d7d6 e6c5 d6c6 c8b8 h7h8
World Championship 2nd,Havana CUB,1889.01.26,1889.01.20,D02,4,"Steinitz, Wilhelm","Chigorin, Mikhail I",1-0,g1f3 d7d5 d2d4 c8g4 c2c4 g4f3 g2f3 e7e6 c4d5 d8d5 e2e4 f8b4 b1c3 d5a5 c1d2 b8c6 d4d5 e6d5 a2a3 c6d4 f1d3 e8c8 a3b4 d4f3 d1f3 a5a1 e1e2 a1b2 h1b1 b2a3 c3b5 a3a6 f3f7 a6b6 b1c1 g8h6 f7g7 d5e4 g7c7 b6c7 c1c7 c8b8 d3e4
World Championship 2nd,Havana CUB,1889.01.27,1889.01.20,C52,5,"Chigorin, Mikhail I","Steinitz, Wilhelm",0-1,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 c1g5 f6d6 d1b3 e8g8 f1d1 a5b6 d4e5 d6g6 b3a3 f8e8 b1d2 d7d6 e5d6 c7d6 g5f4 b6c5 a3c1 c8g4 f4g3 a8d8 h2h3 g4f3 d2f3 g6g3 g1h1 g3g6 d1d3 g6f6 c1d2 e7g6 f3g5 c6e5 d3f3 e5f3 c4f7 f6f7 g2f3 f7c4
World Championship 2nd,Havana CUB,1889.01.29,1889.01.20,D02,6,"Steinitz, Wilhelm","Chigorin, Mikhail I",0-1,g1f3 d7d5 d2d4 c8g4 c2c4 g4f3 g2f3 d5c4 e2e4 e7e5 d4e5 d8d1 e1d1 b8c6 f3f4 a8d8 c1d2 f8c5 h1g1 g8e7 f1c4 e7g6 d1c1 c5f2 g1g2 f2b6 b1c3 c6d4 c3d5 d4f3 d5b6 f3d2 g2d2 a7b6 d2d8 e8d8 c4f7 g6f4 c1d2 h8f8 f7b3 f4g6 e5e6 d8e7 a1g1 f8f2 d2e3 f2h2 g1g5 h2h3 e3d4 h3f3 g5b5 g6f4 a2a4 h7h5 a4a5 h5h4 a5b6 c7c6 b5f5 f4e2 d4c5 f3f5 e4f5 h4h3 b3a4 h3h2 a4c6 b7c6 b6b7 h2h1q b7b8q h1c1
World Championship 2nd,Havana CUB,1889.01.31,1889.01.20,C52,7,"Chigorin, Mikhail I","Steinitz, Wilhelm",1-0,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 d8f6 d2d4 g8e7 c1g5 f6d6 d4d5 c6d8 d1a4 a5b6 b1a3 d6g6 g5e7 e8e7 f3e5 g6f6 e5f3 f6c3 e4e5 c7c6 d5d6 e7f8 c4b3 h7h6 a4h4 g7g5 h4h5 c3d3 a1d1 d3h7 a3c2 f8g7 c2d4 h7g6 h5g4 h6h5 d4f5 g7f8 g4g5 g6g5 f3g5 h5h4 g1h1 h8h5 f2f4 d8e6 g2g4 h4g3 f5g3 h5h6 g5f7 f8f7 f4f5 f7e8 f5e6 d7e6 g3e4
World Championship 2nd,Havana CUB,1889.02.04,1889.01.20,D46,8,"Steinitz, Wilhelm","Chigorin, Mikhail I",1-0,g1f3 g8f6 d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 f8d6 f1d3 b8d7 e1g1 e8g8 e3e4 d5e4 c3e4 f6e4 d3e4 h7h6 e4c2 f8e8 f1e1 d8f6 c1d2 d7f8 d2c3 c8d7 c4c5 d6b8 d4d5 f6d8 d5d6 b7b6 b2b4 f7f6 d1d3 a7a5 a2a3 e6e5 f3h4 b6c5 b4c5 b8a7 a1d1 a7c5 d3c4 f8e6 c4e4 e6f8 e4c4 f8e6 c2g6 d8b6 e1e2 e8b8 e2b2 b6a7 g6f5 g8f7 b2e2 a7a6 c4g4 e6f4 e2e5 f6e5 c3e5 g7g5 f5g6 f7f8 g4d7 a6a7 d7f5 f8g8 d6d7
