Event,Site,Date,EventDate,ECO,Round,White,Black,Result,Moves
World Championship 29th,Baguio City PHI,1978.09.07,1978.07.??,E06,19,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,c2c4 g8f6 g2g3 e7e6 f1g2 d7d5 g1f3 f8e7 d2d4 e8g8 b1d2 b7b6 e1g1 c8b7 c4d5 e6d5 f3e5 b8d7 d2f3 c7c5 b2b3 a7a5 c1b2 f6e4 a1c1 f8e8 e5d7 d8d7 f3e5 d7e6 e5d3 e7d6 d4c5 b6c5 e2e3 a5a4 b3a4 b7a6 f1e1 a6d3 d1d3 a8a4 d3b3 a4a8 g2e4 d5e4 b3e6 e8e6 a2a3 a8a4 e1d1 f7f6 g1f1 g8f7 c1c2 d6e7 d1d7 e6b6 g3g4 f7e6 d7c7 a4a8 c2d2 g7g6 f1g2 f6f5 g4g5 b6d6 d2c2 d6a6 h2h4 a8a7 c7c8 a7a8 c8c7 a8a7 c7c8
World Championship 29th,Baguio City PHI,1978.09.09,1978.07.??,B15,20,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 g8f6 e4f6 e7f6 f1c4 b8d7 g1e2 f8d6 e1g1 e8g8 c1f4 d7b6 c4d3 c8e6 c2c3 b6d5 f4d6 d8d6 d1d2 a8d8 f1e1 g7g6 a1d1 g8g7 d3e4 d5c7 b2b3 f8e8 e4b1 e6g4 h2h3 g4e2 e1e2 e8e2 d2e2 c7d5 e2d2 d5f4 b1e4 f6f5 e4f3 h7h6 h3h4 f4e6 d2e3 e6c7 c3c4 f5f4 e3c3 d6f6 c3a5 c7e6 d4d5 c6d5 c4d5 b7b6 a5a4 e6c5 a4a7 c5d7 d5d6 f6h4 a7c7 h4f6 b3b4 h6h5 a2a4 g7h6 b4b5 g6g5 f3c6 d7c5 d6d7 h6g7 d1e1 c5e6 c7d6 g5g4 g1f1 g4g3 d6e5 h5h4 a4a5 b6a5 b5b6 f6e5 e1e5 d8b8 b6b7 e6d8 e5e8 g7f6 f2g3 f4g3 f1e2 f6g7 c6f3 a5a4 e8e4 g7f6 e4a4 f6e7 a4h4 e7d7 h4f4 d7d6 f4b4 d6c7 b4c4 c7d7 f3g4 d7e8 c4e4 e8f8 g4d7 b8b7 e4e8 f8g7 e8d8 b7b2
World Championship 29th,Baguio City PHI,1978.09.12,1978.07.??,D37,21,"Korchnoi, Viktor L","Karpov, Anatoly",1-0,c2c4 g8f6 b1c3 e7e6 g1f3 d7d5 d2d4 f8e7 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5 d1c2 b8c6 a1d1 d8a5 a2a3 f8e8 f3d2 e6e5 f4g5 c6d4 c2b1 c8f5 f1d3 e5e4 d3c2 d4c2 b1c2 a5a6 g5f6 a6f6 d2b3 c5d6 d1d5 e8e5 b3d4 a8c8 d5e5 f6e5 d4f5 e5f5 e1g1 c8c4 f1d1 f5e5 g2g3 a7a6 c2b3 b7b5 a3a4 c4b4 b3d5 e5d5 d1d5 d6f8 a4b5 a6a5 d5d8 b4b2 d8a8 f7f5 a8a5 f8b4 a5a8 g8f7 c3a4 b2b1 g1g2 b4d6 a8a7 f7f6 b5b6 d6b8 a7a8 b8e5 a4c5 e5d6 b6b7 f6e7 a8g8 d6e5 f2f4 e4f3 g2f3 e7f7 g8c8 f7e7 h2h3 h7h5 c8g8 e7f7 g8d8 g7g5 g3g4 h5g4 h3g4 f7e7 d8g8 f5g4 f3g4 e7f7 g8c8 e5d6 e3e4 b1g1 g4f5 g5g4 e4e5 g1f1 f5e4 f1e1 e4d5 e1d1 c5d3 d1d3 d5c4
World Championship 29th,Baguio City PHI,1978.09.14,1978.07.??,C08,22,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 f1b5 c8d7 d1e2 f8e7 d4c5 g8f6 d2b3 e8g8 c1e3 f8e8 g1f3 e7c5 b3c5 d8a5 e2d2 a5b5 e1c1 b7b6 c5d7 b8d7 c1b1 f6e4 d2d3 b5d3 d1d3 d7f6 h2h3 e4c5 d3d1 c5e6 c2c3 b6b5 f3d4 a7a6 d4c2 a6a5 d1d3 a8b8 h1d1 h7h6 f2f4 b8c8 g2g4 d5d4 c3d4 f6d5 d1f1 b5b4 e3d2 e8e7 f4f5 e6g5 c2e3 d5f6 d4d5 g5h3 d5d6 e7d7 e3d5 f6d5 d3d5 c8a8 d2e3 h3g5 e3b6 g5e4 f1d1 a5a4 d5d4 a8e8 d4b4 d7d6 d1d6 e4d6 b6c7 e8e1 b1c2 d6e8 c7a5 a4a3 b4b8 e1e7 a5b4 e7e2 c2d3 a3b2 b4d2 e2e7 a2a4 e7d7 d3c2 g8h7 b8b2 h6h5 g4h5 e8d6 b2a2 d6f5 a4a5 f5d4 c2c3 d4c6 a5a6 d7d5 d2f4 d5f5 f4d6 f5d5 d6g3 d5g5 g3f2 g5h5 c3c4 c6a5 c4c3 a5c6 a2a4 h7g8 c3c4 c6a5
World Championship 29th,Baguio City PHI,1978.09.16,1978.07.??,D37,23,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,c2c4 g8f6 b1c3 e7e6 g1f3 d7d5 d2d4 f8e7 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5 d1c2 b8c6 a1d1 d8a5 a2a3 c5e7 f3d2 e6e5 f4g5 d5d4 d2b3 a5b6 g5f6 e7f6 c3d5 b6d8 f1d3 g7g6 e3d4 c6d4 b3d4 e5d4 d5f6 d8f6 e1g1 c8e6 f1e1 a8c8 b2b3 f8d8 d3e4 c8c7 c2d2 e6g4 f2f3 g4e6 a3a4 b7b6 a4a5 b6b5 c4b5 e6b3 d1b1 b3d5 b5b6 a7b6 b1b6 c7c6 b6c6 d5c6 e4d3 c6d7 a5a6 d7f5 d2f4 g8g7 d3f5 f6f5 f4f5 g6f5 e1a1 d4d3 g1f2 d8e8 a1a2 e8e7 a2d2 e7e6 a6a7
World Championship 29th,Baguio City PHI,1978.09.19,1978.07.??,C83,24,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 b3c2 e4c5 h2h3 e8g8 f1e1 d8d7 f3d4 c6d4 c3d4 c5b7 b1d2 c7c5 d4c5 b7c5 d2f3 e6f5 c1e3 a8c8 a1c1 f5c2 c1c2 c5e6 c2d2 f8d8 d1b3 c8c4 e1d1 d7b7 a2a3 g7g6 b3a2 a6a5 b2b3 c4c3 a3a4 b5a4 b3a4 c3c4 d2d3 g8g7 a2d2 c4a4 e3h6 g7g8 d3d5 d8d5 d2d5 b7d5 d1d5 e7f8 h6f8 g8f8 g2g3 f8e7 d5b5 e6c7 b5c5 c7e6 c5b5 e6d8 g1g2 h7h6 f3d2 a4a1 d2c4 d8c6 b5c5 e7d7 c4b6 d7c7 b6c8 c7c8
World Championship 29th,Baguio City PHI,1978.09.23,1978.07.??,A22,25,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,c2c4 g8f6 b1c3 e7e5 g2g3 f8b4 d1b3 b8c6 c3d5 b4c5 e2e3 e8g8 f1g2 f6d5 c4d5 c6e7 g1e2 d7d6 e1g1 c7c6 d2d4 e5d4 e3d4 c5b6 c1g5 c8d7 a2a4 h7h6 g5e7 d8e7 g2f3 a8b8 a4a5 b6c7 b3c3 f8c8 e2f4 c7d8 f1e1 e7f8 c3b3 d8g5 f4e2 g5f6 a1d1 c6c5 f3e4 f8d8 b3a2 d7g4 d4c5 c8c5 b2b4 c5c7 a2b3 b8c8 f2f3 g4d7 b3e3 a7a6 e4d3 f6b2 g1g2 d8f6 d1b1 d7a4 e2f4 g7g6 e1e2 b2c1 e3e4 g8f8 b4b5 a6b5 e4b4 c7c5 b1c1 c5c1 f4g6 f8g7 g6e7 c1c4 d3c4 c8c4 b4d6 c4c3 f3f4 f6d6 e7f5 g7g6 f5d6 a4b3 f4f5 g6g7 d6e8 g7f8 e8f6 f8g7 f6h5 g7f8 h5f4 b3c4 e2e5 c3a3 d5d6 a3a2 g2f3 a2d2 e5e7 d2d6 e7b7 d6a6 b7b6 a6a5 b6h6 b5b4 h6c6 c4b5 c6c1 b4b3 c1b1 b5c4 f3e4 a5a2 e4d4 a2c2 f4d3 c4d3 d4d3 c2h2 b1b3 f8g7 d3e4 h2a2 e4f4 a2a4 f4g5 a4a5 g3g4 a5c5 g5h5 c5a5 b3f3 a5b5 g4g5 b5b1 f5f6 g7h7 f3h3 b1g1 h3h2 g1g3 h2h1 g3g2 h1a1 g2h2 h5g4 h7g6 a1a8 h2g2
World Championship 29th,Baguio City PHI,1978.09.26,1978.07.??,A21,26,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,c2c4 e7e5 b1c3 d7d6 g2g3 f7f5 f1g2 b8c6 d2d3 g8f6 e2e3 f8e7 g1e2 e8g8 e1g1 d8e8 f2f4 e7d8 a2a3 a8b8 b2b4 c8e6 c3d5 b7b5 c1b2 b5c4 d3c4 e5e4 d5f6 d8f6 b2f6 f8f6 a1c1 a7a5 b4b5 c6d8 f1f2 d8b7 g2f1 b7c5 e2c3 e6f7 c3d5 f7d5 c4d5 c5d3 f1d3 e4d3 d1d3 e8b5 d3b5 b8b5 c1c7 f6f7
World Championship 29th,Baguio City PHI,1978.09.28,1978.07.??,A29,27,"Korchnoi, Viktor L","Karpov, Anatoly",0-1,c2c4 g8f6 b1c3 e7e5 g1f3 b8c6 g2g3 f8b4 c3d5 f6d5 c4d5 c6d4 f3d4 e5d4 d1c2 d8e7 f1g2 b4c5 e1g1 e8g8 e2e3 c5b6 a2a4 d4e3 d2e3 a7a5 c1d2 b6c5 d2c3 d7d6 c2d2 b7b6 f1e1 c8d7 e3e4 f8e8 g1h1 c7c6 e4e5 c6d5 g2d5 a8d8 d2f4 e7f8 f4f3 d6e5 c3e5 d7g4 f3g4 d8d5 e5c3 e8d8 h1g2 c5d4 a1c1 g7g6 g4e2 f8d6 c3d4 d5d4 e2b5 d4b4 e1e8 g8g7 e8d8 d6d8 b5e2 d8d5 f2f3 b4a4 c1c2 a4d4 e2e3 b6b5 h2h4 h7h5 e3e2 a5a4 e2e3 b5b4 c2f2
World Championship 29th,Baguio City PHI,1978.09.30,1978.07.??,C82,28,"Karpov, Anatoly","Korchnoi, Viktor L",0-1,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 e4c5 b3c2 e6g4 f1e1 f8e7 b1d2 d8d7 d2b3 c5e6 h2h3 g4h5 c2f5 c6d8 c1e3 a6a5 e3c5 a5a4 c5e7 d7e7 b3d2 c7c6 b2b4 e6g5 d1e2 g7g6 f5g4 h5g4 h3g4 d8e6 e2e3 h7h5 f3g5 e7g5 e3g5 e6g5 g4h5 h8h5 d2f1 h5h4 a1d1 e8e7 f2f3 g5e6 f1e3 a8d8 e3g4 e6g5 g4e3 g5e6 e3g4 e6g7 g4e3 g7f5 e3c2 h4c4 d1d3 d5d4 g2g4 f5g7 c2d4 g7e6 e1d1 e6d4 c3d4 c4b4 g1f2 c6c5 d4d5 b4b2 f2g3 b2a2 d3e3 b5b4 e5e6 a2a3 e3e2 f7e6 e2e6 e7f7 d1e1 d8d7 e6b6 a3d3 e1e6 d3d5 e6g6 a4a3 b6f6 f7e7 f6e6 e7f8 e6f6 f8e7 f6e6 e7d8 e6a6 d7b7 g6g8 d8c7 g8g7 d5d7 g7g5 b4b3 g5c5 c7b8
