,code,name,date,weight
146,000858,五 粮 液,2016-08-01,0.77
147,601901,方正证券,2016-08-01,0.34
148,002385,大北农,2016-08-01,0.19
149,600036,招商银行,2016-08-01,2.06
150,600011,华能国际,2016-08-01,0.36
151,601211,国泰君安,2016-08-01,0.31
152,000060,中金岭南,2016-08-01,0.19
153,601988,中国银行,2016-08-01,0.82
154,601989,中国重工,2016-08-01,0.69
155,000425,徐工机械,2016-08-01,0.15
156,601601,中国太保,2016-08-01,0.98
157,002465,海格通信,2016-08-01,0.22
158,000709,河钢股份,2016-08-01,0.14
159,601169,北京银行,2016-08-01,1.19
160,002195,二三四五,2016-08-01,0.1
161,002424,贵州百灵,2016-08-01,0.09
162,600037,歌华有线,2016-08-01,0.13
163,601788,光大证券,2016-08-01,0.23
164,601258,庞大集团,2016-08-01,0.14
165,600061,国投安信,2016-08-01,0.21
166,601099,太平洋,2016-08-01,0.32
167,600015,华夏银行,2016-08-01,0.62
168,601018,宁波港,2016-08-01,0.22
169,600446,金证股份,2016-08-01,0.18
170,600022,山东钢铁,2016-08-01,0.05
171,000063,中兴通讯,2016-08-01,0.39
172,000559,万向钱潮,2016-08-01,0.19
173,601808,中海油服,2016-08-01,0.08
174,600000,浦发银行,2016-08-01,1.59
175,600582,天地科技,2016-08-01,0.09
176,603000,人民网,2016-08-01,0.13
177,600839,四川长虹,2016-08-01,0.19
178,000651,格力电器,2016-08-01,0.99
179,601006,大秦铁路,2016-08-01,0.43
180,000776,广发证券,2016-08-01,0.56
181,600959,江苏有线,2016-08-01,0.09
182,000826,启迪桑德,2016-08-01,0.18
183,601098,中南传媒,2016-08-01,0.15
184,000039,中集集团,2016-08-01,0.12
185,002202,金风科技,2016-08-01,0.28
186,002450,康得新,2016-08-01,0.52
187,600875,东方电气,2016-08-01,0.14
188,600685,中船防务,2016-08-01,0.08
189,601198,东兴证券,2016-08-01,0.26
190,300133,华策影视,2016-08-01,0.12
191,601377,兴业证券,2016-08-01,0.42
192,601600,中国铝业,2016-08-01,0.24
193,600900,长江电力,2016-08-01,1.03
194,600332,白云山,2016-08-01,0.16
195,002241,歌尔股份,2016-08-01,0.27
196,600060,海信电器,2016-08-01,0.16
197,600547,山东黄金,2016-08-01,0.38
198,000728,国元证券,2016-08-01,0.25
199,600352,浙江龙盛,2016-08-01,0.25
200,002594,比亚迪,2016-08-01,0.37
201,002456,欧菲光,2016-08-01,0.26
202,600648,外高桥,2016-08-01,0.08
203,601179,中国西电,2016-08-01,0.12
204,601216,君正集团,2016-08-01,0.11
205,600485,信威集团,2016-08-01,0.23
206,600690,青岛海尔,2016-08-01,0.38
207,600705,中航资本,2016-08-01,0.3
208,000423,东阿阿胶,2016-08-01,0.35
209,600153,建发股份,2016-08-01,0.22
210,600005,武钢股份,2016-08-01,0.13
211,600570,恒生电子,2016-08-01,0.32
212,002292,奥飞娱乐,2016-08-01,0.18
213,300144,宋城演艺,2016-08-01,0.16
214,600703,三安光电,2016-08-01,0.29
215,000002,万 科Ａ,2016-08-01,1.56
216,000009,中国宝安,2016-08-01,0.25
217,600606,绿地控股,2016-08-01,0.04
218,600252,中恒集团,2016-08-01,0.14
219,600030,中信证券,2016-08-01,1.48
220,601933,永辉超市,2016-08-01,0.22
221,601333,广深铁路,2016-08-01,0.16
222,600369,西南证券,2016-08-01,0.24
223,600999,招商证券,2016-08-01,0.56
224,600820,隧道股份,2016-08-01,0.17
225,600837,海通证券,2016-08-01,1.43
226,002081,金 螳 螂,2016-08-01,0.18
227,600637,东方明珠,2016-08-01,0.35
228,002739,万达院线,2016-08-01,0.39
229,600066,宇通客车,2016-08-01,0.35
230,600660,福耀玻璃,2016-08-01,0.26
231,601608,中信重工,2016-08-01,0.08
232,000027,深圳能源,2016-08-01,0.09
233,000046,泛海控股,2016-08-01,0.18
234,601669,中国电建,2016-08-01,0.28
235,002146,荣盛发展,2016-08-01,0.11
236,000166,申万宏源,2016-08-01,0.43
237,600089,特变电工,2016-08-01,0.27
238,002470,金正大,2016-08-01,0.16
239,000917,电广传媒,2016-08-01,0.22
240,000686,东北证券,2016-08-01,0.2
241,000333,美的集团,2016-08-01,1.03
242,600373,中文传媒,2016-08-01,0.14
243,000061,农 产 品,2016-08-01,0.12
244,000792,盐湖股份,2016-08-01,0.17
245,600398,海澜之家,2016-08-01,0.18
246,601898,中煤能源,2016-08-01,0.12
247,000783,长江证券,2016-08-01,0.4
248,600317,营口港,2016-08-01,0.08
249,002152,广电运通,2016-08-01,0.14
250,600109,国金证券,2016-08-01,0.27
251,002065,东华软件,2016-08-01,0.18
252,002294,信立泰,2016-08-01,0.1
253,600009,上海机场,2016-08-01,0.31
254,300059,东方财富,2016-08-01,0.47
255,601336,新华保险,2016-08-01,0.39
256,000712,锦龙股份,2016-08-01,0.1
257,002236,大华股份,2016-08-01,0.25
258,600998,九州通,2016-08-01,0.08
259,600816,安信信托,2016-08-01,0.19
260,002153,石基信息,2016-08-01,0.09
261,002500,山西证券,2016-08-01,0.18
262,601766,中国中车,2016-08-01,0.95
263,601118,海南橡胶,2016-08-01,0.08
264,000750,国海证券,2016-08-01,0.17
265,600737,中粮屯河,2016-08-01,0.14
266,601628,中国人寿,2016-08-01,0.4
267,300024,机器人,2016-08-01,0.3
268,300015,爱尔眼科,2016-08-01,0.17
269,600739,辽宁成大,2016-08-01,0.22
270,002183,怡 亚 通,2016-08-01,0.18
271,002736,国信证券,2016-08-01,0.46
272,002673,西部证券,2016-08-01,0.39
273,600958,东方证券,2016-08-01,0.5
274,601688,华泰证券,2016-08-01,0.71
275,600415,小商品城,2016-08-01,0.2
276,601618,中国中冶,2016-08-01,0.21
277,601992,金隅股份,2016-08-01,0.12
278,600535,天士力,2016-08-01,0.3
279,300070,碧水源,2016-08-01,0.32
280,600068,葛洲坝,2016-08-01,0.22
281,600867,通化东宝,2016-08-01,0.25
282,300003,乐普医疗,2016-08-01,0.19
283,002007,华兰生物,2016-08-01,0.2
284,300085,银之杰,2016-08-01,0.09
285,600309,万华化学,2016-08-01,0.23
286,000729,燕京啤酒,2016-08-01,0.12
287,000778,新兴铸管,2016-08-01,0.12
288,000898,鞍钢股份,2016-08-01,0.09
289,600783,鲁信创投,2016-08-01,0.07
290,300124,汇川技术,2016-08-01,0.2
291,300002,神州泰岳,2016-08-01,0.14
292,000413,东旭光电,2016-08-01,0.25
293,002027,分众传媒,2016-08-01,0.11
294,000156,华数传媒,2016-08-01,0.09
295,000157,中联重科,2016-08-01,0.21
296,300058,蓝色光标,2016-08-01,0.16
297,000977,浪潮信息,2016-08-01,0.16
298,601718,际华集团,2016-08-01,0.15
299,300017,网宿科技,2016-08-01,0.4
