date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,26.05,26.82,26.69,25.9,87228.11,0.64,2.46,26.69,26.69,26.69,87228.11,87228.11,87228.11,0.3,0
2013-10-22,26.71,26.71,25.25,25.2,153170.28,-1.44,-5.39,25.97,25.97,25.97,120199.2,120199.2,120199.2,0.52,0
2013-10-23,25.24,25.59,25.24,24.78,80513.57,-0.01,-0.04,25.727,25.727,25.727,106970.65,106970.65,106970.65,0.27,0
2013-10-24,25.27,25.36,24.87,24.71,61563.95,-0.37,-1.47,25.513,25.513,25.513,95618.98,95618.98,95618.98,0.21,0
2013-10-25,24.87,25.05,24.04,23.61,126361.11,-0.83,-3.34,25.218,25.218,25.218,101767.4,101767.4,101767.4,0.43,0
2013-10-28,24.04,25.07,24.72,24.04,71418.61,0.68,2.83,24.824,25.135,25.135,98605.5,96709.27,96709.27,0.24,0
2013-10-29,25.0,25.3,23.94,23.5,100300.14,-0.78,-3.15,24.562,24.964,24.964,88031.48,97222.25,97222.25,0.34,0
2013-10-30,24.06,24.3,23.94,23.3,74609.69,0.0,0.0,24.302,24.836,24.836,86850.7,94395.68,94395.68,0.25,0
2013-10-31,23.9,24.1,23.88,23.2,77703.11,-0.06,-0.25,24.104,24.73,24.73,90078.53,92540.95,92540.95,0.26,0
2013-11-01,23.95,24.05,23.8,23.36,98380.69,-0.08,-0.34,24.056,24.637,24.637,84482.45,93124.93,93124.93,0.33,0
2013-11-04,24.11,24.83,24.46,23.71,109515.96,0.66,2.77,24.004,24.414,24.621,92101.92,95353.71,94615.02,0.37,0
2013-11-05,24.26,24.98,24.89,24.0,71097.13,0.43,1.76,24.194,24.378,24.643,86261.32,87146.4,92655.2,0.24,0
2013-11-06,24.84,25.14,24.42,24.42,66976.32,-0.47,-1.89,24.29,24.296,24.626,84734.64,85792.67,90679.9,0.23,0
2013-11-07,24.42,24.6,23.75,23.51,67297.63,-0.67,-2.74,24.264,24.184,24.564,82653.55,86366.04,89009.74,0.23,0
2013-11-08,23.32,23.89,23.7,23.32,55371.46,-0.05,-0.21,24.244,24.15,24.506,74051.7,79267.07,86767.18,0.19,0
2013-11-11,23.8,25.0,24.5,23.61,70594.34,0.8,3.38,24.252,24.128,24.506,66267.38,79184.65,85756.38,0.24,0
2013-11-12,24.78,24.9,24.35,24.01,44717.29,-0.15,-0.61,24.144,24.169,24.496,60991.41,73626.36,83342.32,0.15,0
2013-11-13,24.66,25.35,24.85,24.6,98299.75,0.5,2.05,24.23,24.26,24.516,67256.09,75995.37,84173.29,0.33,0
2013-11-14,25.1,25.38,25.13,24.3,92454.55,0.28,1.13,24.506,24.385,24.548,72287.48,77470.51,84609.14,0.31,0
2013-11-15,25.15,25.69,25.39,25.14,126507.66,0.26,1.03,24.844,24.544,24.591,86514.72,80283.21,86704.07,0.43,0
2013-11-18,25.7,25.88,25.54,25.16,117529.81,0.15,0.59,25.052,24.652,24.533,95901.81,81084.59,88219.15,0.4,0
2013-11-19,25.5,25.77,24.96,24.89,95311.39,-0.58,-2.27,25.174,24.659,24.519,106020.63,83506.02,85326.21,0.32,0
2013-11-20,25.24,25.45,25.28,24.79,74515.79,0.32,1.28,25.26,24.745,24.521,101263.84,84259.97,85026.32,0.25,0
2013-11-21,25.16,25.16,24.98,24.72,57391.03,-0.3,-1.19,25.23,24.868,24.526,94251.14,83269.31,84817.67,0.2,0
2013-11-22,25.13,25.18,24.71,24.61,47351.43,-0.27,-1.08,25.094,24.969,24.56,78419.89,82467.3,80867.19,0.16,0
