date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,7.55,7.57,7.55,7.42,247723.98,0.03,0.4,7.55,7.55,7.55,247723.98,247723.98,247723.98,0.33,0
2013-10-22,7.54,7.67,7.58,7.48,312680.84,0.03,0.4,7.565,7.565,7.565,280202.41,280202.41,280202.41,0.41,0
2013-10-23,7.56,7.62,7.44,7.4,263330.16,-0.14,-1.85,7.523,7.523,7.523,274578.33,274578.33,274578.33,0.35,0
2013-10-24,7.4,7.4,7.22,7.2,379620.78,-0.22,-2.96,7.448,7.448,7.448,300838.94,300838.94,300838.94,0.5,0
2013-10-25,7.21,7.26,7.13,7.08,269793.53,-0.09,-1.25,7.384,7.384,7.384,294629.86,294629.86,294629.86,0.36,0
2013-10-28,7.13,7.3,7.2,7.13,271695.31,0.07,0.98,7.314,7.353,7.353,299424.12,290807.43,290807.43,0.36,0
2013-10-29,7.16,7.25,7.05,6.93,325851.38,-0.15,-2.08,7.208,7.31,7.31,302058.23,295813.71,295813.71,0.43,0
2013-10-30,7.1,7.21,7.15,7.05,222308.7,0.1,1.42,7.15,7.29,7.29,293853.94,286625.59,286625.59,0.29,0
2013-10-31,7.15,7.15,7.1,7.08,158536.55,-0.05,-0.7,7.126,7.269,7.269,249637.09,272393.47,272393.47,0.21,0
2013-11-01,7.08,7.14,7.09,7.02,170645.03,-0.01,-0.14,7.118,7.251,7.251,229807.39,262218.63,262218.63,0.22,0
2013-11-04,7.1,7.14,7.07,7.04,132149.05,-0.02,-0.28,7.092,7.203,7.235,201898.14,250661.13,250394.12,0.17,0
2013-11-05,7.07,7.08,7.05,6.97,163447.03,-0.02,-0.28,7.092,7.15,7.219,169417.27,235737.75,243148.53,0.22,0
2013-11-06,7.02,7.12,7.03,6.99,189435.28,-0.02,-0.28,7.068,7.109,7.205,162842.59,228348.26,239016.74,0.25,0
2013-11-07,7.03,7.14,7.09,6.99,236411.36,0.06,0.85,7.066,7.096,7.196,178417.55,214027.32,238830.64,0.31,0
2013-11-08,7.02,7.09,7.0,7.0,146871.81,-0.09,-1.27,7.048,7.083,7.183,173662.91,201735.15,232700.05,0.19,0
2013-11-11,7.0,7.02,6.97,6.91,141139.14,-0.03,-0.43,7.028,7.06,7.17,175460.92,188679.53,226977.5,0.19,0
2013-11-12,6.97,7.07,7.06,6.97,108344.72,0.09,1.29,7.03,7.061,7.164,164440.46,166928.87,219999.1,0.14,0
2013-11-13,7.03,7.04,6.92,6.91,149812.72,-0.14,-1.98,7.008,7.038,7.15,156515.95,159679.27,216099.85,0.2,0
2013-11-14,6.92,6.95,6.93,6.87,153862.48,0.01,0.14,6.976,7.021,7.138,140006.17,159211.86,212824.2,0.2,0
2013-11-15,6.93,7.09,7.07,6.92,233786.72,0.14,2.02,6.99,7.019,7.135,157389.16,165526.03,213872.33,0.31,0
