date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,10.47,10.78,10.68,10.41,34093.54,0.22,2.1,10.68,10.68,10.68,34093.54,34093.54,34093.54,0.36,0
2013-10-22,10.63,10.8,10.76,10.6,29204.31,0.08,0.75,10.72,10.72,10.72,31648.93,31648.93,31648.93,0.31,0
2013-10-23,10.78,10.82,10.44,10.4,25331.36,-0.32,-2.97,10.627,10.627,10.627,29543.07,29543.07,29543.07,0.27,0
2013-10-24,10.59,10.59,10.5,10.37,21109.12,0.06,0.57,10.595,10.595,10.595,27434.58,27434.58,27434.58,0.22,0
2013-10-25,10.59,10.59,10.25,10.22,21545.39,-0.25,-2.38,10.526,10.526,10.526,26256.74,26256.74,26256.74,0.23,0
2013-10-28,10.28,10.43,10.36,10.21,13410.9,0.11,1.07,10.462,10.498,10.498,22120.22,24115.77,24115.77,0.14,0
2013-10-29,10.42,10.45,9.8,9.6,27755.9,-0.56,-5.41,10.27,10.399,10.399,21830.53,24635.79,24635.79,0.29,0
2013-10-30,9.81,10.09,9.99,9.72,22176.23,0.19,1.94,10.18,10.348,10.348,21199.51,24328.34,24328.34,0.24,0
2013-10-31,10.05,10.05,9.93,9.89,11486.37,-0.06,-0.6,10.066,10.301,10.301,19274.96,22901.46,22901.46,0.12,0
2013-11-01,10.01,10.03,10.0,9.89,9396.54,0.07,0.7,10.016,10.271,10.271,16845.19,21550.97,21550.97,0.1,0
2013-11-04,10.1,10.1,9.97,9.96,9913.94,-0.03,-0.3,9.938,10.2,10.244,16145.8,19133.01,20493.05,0.11,0
2013-11-05,9.98,10.06,10.04,9.74,19287.66,0.07,0.7,9.986,10.128,10.227,14452.15,18141.34,20392.61,0.2,0
2013-11-06,10.08,10.17,10.05,9.97,21474.03,0.01,0.1,9.998,10.089,10.213,14311.71,17755.61,20475.79,0.23,0
2013-11-07,10.05,10.13,9.84,9.83,15231.87,-0.21,-2.09,9.98,10.023,10.186,15060.81,17167.88,20101.23,0.16,0
2013-11-08,9.8,9.85,9.8,9.6,16374.57,-0.04,-0.41,9.94,9.978,10.161,16456.41,16650.8,19852.78,0.17,0
2013-11-11,9.76,9.95,9.85,9.67,13302.36,0.05,0.51,9.916,9.927,10.141,17134.1,16639.95,19443.38,0.14,0
2013-11-12,9.88,9.98,9.92,9.78,11754.36,0.07,0.71,9.892,9.939,10.128,15627.44,15039.79,18991.09,0.12,0
2013-11-13,10.2,10.72,10.21,10.19,69143.71,0.29,2.92,9.924,9.961,10.133,25161.37,19736.54,21777.34,0.73,0
2013-11-14,10.2,11.02,10.92,10.0,121306.83,0.71,6.95,10.14,10.06,10.174,46376.37,30718.59,27015.74,1.29,0
2013-11-15,11.0,11.9,11.32,10.77,170406.72,0.4,3.66,10.444,10.192,10.232,77182.8,46819.61,34185.29,1.81,0
2013-11-18,11.58,12.1,11.57,11.26,154676.48,0.25,2.21,10.788,10.352,10.276,105457.62,61295.86,40214.43,1.64,0
2013-11-19,11.57,11.97,11.73,11.41,91226.55,0.16,1.38,11.15,10.521,10.325,121352.06,68489.75,43315.54,0.97,0
2013-11-20,11.93,12.9,12.9,11.7,277234.53,1.17,9.97,11.688,10.806,10.448,162970.22,94065.8,55910.7,2.94,0
2013-11-21,13.24,13.85,13.26,12.95,322754.84,0.36,2.79,12.156,11.148,10.586,203259.82,124818.1,70992.99,3.42,0
2013-11-22,13.13,13.3,12.79,12.68,179669.98,-0.47,-3.54,12.45,11.447,10.713,205112.48,141147.64,78899.22,1.91,0
2013-11-25,13.1,13.19,12.64,12.61,151409.52,-0.15,-1.17,12.664,11.726,10.827,204459.08,154958.35,85799.15,1.61,0
2013-11-26,12.55,13.18,12.66,12.15,171495.91,0.02,0.16,12.85,12.0,10.97,220512.96,170932.51,92986.15,1.82,0
2013-11-27,12.6,13.2,13.08,12.48,124348.96,0.42,3.32,12.886,12.287,11.124,189935.84,176453.03,98094.79,1.32,0
2013-11-28,13.1,13.19,12.88,12.83,76281.2,-0.2,-1.53,12.81,12.483,11.272,140641.11,171950.47,101334.53,0.81,0
2013-11-29,12.81,13.6,13.31,12.77,159675.31,0.43,3.34,12.914,12.682,11.437,136642.18,170877.33,108848.47,1.69,0
2013-12-02,13.0,13.23,11.98,11.98,114598.77,-1.33,-9.99,12.782,12.723,11.538,129280.03,166869.56,114082.71,1.22,0
2013-12-03,11.93,12.4,12.28,11.86,49602.54,0.3,2.5,12.706,12.778,11.65,104901.36,162707.16,115598.45,0.53,0
2013-12-04,12.35,12.8,12.52,12.17,65032.31,0.24,1.95,12.594,12.74,11.773,93038.03,141486.93,117776.37,0.69,0
