date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,4.95,5.01,4.99,4.91,69573.6,-0.01,-0.2,4.99,4.99,4.99,69573.6,69573.6,69573.6,0.15,0
2013-10-22,4.99,5.01,4.93,4.91,54726.43,-0.06,-1.2,4.96,4.96,4.96,62150.02,62150.02,62150.02,0.12,0
2013-10-23,4.97,4.99,4.95,4.85,51167.17,0.02,0.41,4.957,4.957,4.957,58489.07,58489.07,58489.07,0.11,0
2013-10-24,4.95,4.97,4.93,4.89,35890.75,-0.02,-0.4,4.95,4.95,4.95,52839.49,52839.49,52839.49,0.08,0
2013-10-25,4.95,4.96,4.88,4.87,40349.28,-0.05,-1.01,4.936,4.936,4.936,50341.45,50341.45,50341.45,0.09,0
2013-10-28,4.81,4.99,4.93,4.7,76571.74,0.05,1.02,4.924,4.935,4.935,51741.07,54713.16,54713.16,0.17,0
2013-10-29,4.94,4.97,4.96,4.85,108704.84,0.03,0.61,4.93,4.939,4.939,62536.76,62426.26,62426.26,0.24,0
2013-10-30,4.98,5.01,4.99,4.9,61793.5,0.03,0.6,4.938,4.945,4.945,64662.02,62347.16,62347.16,0.14,0
2013-10-31,5.0,5.11,4.91,4.9,69872.55,-0.08,-1.6,4.934,4.941,4.941,71458.38,63183.32,63183.32,0.15,0
2013-11-01,4.94,4.98,4.98,4.9,53708.87,0.07,1.43,4.954,4.945,4.945,74130.3,62235.87,62235.87,0.12,0
2013-11-04,5.02,5.06,4.92,4.91,66152.26,-0.06,-1.21,4.952,4.938,4.943,72046.4,61893.74,62591.91,0.15,0
2013-11-05,4.9,4.93,4.92,4.83,50105.76,0.0,0.0,4.944,4.937,4.941,60326.59,61431.67,61551.4,0.11,0
2013-11-06,4.9,4.93,4.85,4.85,37688.35,-0.07,-1.42,4.916,4.927,4.934,55505.56,60083.79,59715.78,0.08,0
2013-11-07,4.86,4.9,4.9,4.81,35788.88,0.05,1.03,4.914,4.924,4.931,48688.82,60073.6,58006.71,0.08,0
2013-11-08,4.9,4.9,4.74,4.74,39753.24,-0.16,-3.27,4.866,4.91,4.919,45897.7,60014.0,56789.81,0.09,0
2013-11-11,4.7,4.75,4.65,4.63,41749.65,-0.09,-1.9,4.812,4.882,4.902,41017.18,56531.79,55849.8,0.09,0
2013-11-12,4.66,4.7,4.66,4.56,38015.42,0.01,0.21,4.76,4.852,4.888,38599.11,49462.85,54800.72,0.08,0
2013-11-13,4.6,4.79,4.74,4.6,56021.53,0.08,1.72,4.738,4.827,4.879,42265.74,48885.65,54868.55,0.12,0
2013-11-14,4.78,4.78,4.63,4.58,48616.66,-0.11,-2.32,4.684,4.799,4.866,44831.3,46760.06,54539.5,0.11,0
2013-11-15,4.62,4.78,4.7,4.6,47536.13,0.07,1.51,4.676,4.771,4.858,46387.88,46142.79,54189.33,0.1,0
2013-11-18,4.7,4.79,4.78,4.62,60983.34,0.08,1.7,4.702,4.757,4.848,50234.62,45625.9,53759.82,0.13,0
2013-11-19,4.74,4.88,4.8,4.7,50459.02,0.02,0.42,4.73,4.745,4.841,52723.34,45661.22,53546.45,0.11,0
2013-11-20,4.87,4.88,4.83,4.78,35822.68,0.03,0.62,4.748,4.743,4.835,48683.57,45474.66,52779.22,0.08,0
2013-11-21,4.76,4.92,4.89,4.75,89175.1,0.06,1.24,4.8,4.742,4.833,56795.25,50813.28,55443.44,0.2,0
2013-11-22,4.88,4.94,4.87,4.84,49007.04,-0.02,-0.41,4.834,4.755,4.833,57089.44,51738.66,55876.33,0.11,0
2013-11-25,4.81,4.85,4.78,4.75,48931.55,-0.09,-1.85,4.834,4.768,4.825,54679.08,52456.85,54494.32,0.11,0
2013-11-26,4.78,4.84,4.81,4.69,53810.05,0.03,0.63,4.836,4.783,4.818,55349.28,54036.31,51749.58,0.12,0
2013-11-27,4.8,4.85,4.8,4.71,64225.79,-0.01,-0.21,4.83,4.789,4.808,61029.91,54856.74,51871.19,0.14,0
2013-11-28,4.82,4.9,4.87,4.78,48834.88,0.07,1.46,4.826,4.813,4.806,52961.86,54878.56,50819.31,0.11,0
2013-11-29,4.91,4.92,4.86,4.82,30683.53,-0.01,-0.2,4.824,4.829,4.8,49297.16,53193.3,49668.04,0.07,0
2013-12-02,4.85,4.88,4.83,4.72,123517.49,-0.03,-0.62,4.834,4.834,4.796,64214.35,59446.71,52536.3,0.27,0
2013-12-03,4.78,4.86,4.82,4.78,22620.0,-0.01,-0.21,4.836,4.836,4.791,57976.34,56662.81,51162.02,0.05,0
2013-12-04,4.79,4.9,4.83,4.79,49623.66,0.01,0.21,4.842,4.836,4.79,55055.91,58042.91,51758.78,0.11,0
2013-12-05,4.83,4.86,4.83,4.81,25906.98,0.0,0.0,4.834,4.83,4.786,50470.33,51716.1,51264.69,0.06,0
2013-12-06,4.82,4.85,4.79,4.79,50730.37,-0.04,-0.83,4.82,4.822,4.789,54479.7,51888.43,51813.54,0.11,0
2013-12-09,4.83,4.83,4.7,4.65,82489.89,-0.09,-1.88,4.794,4.814,4.791,46274.18,55244.26,53850.56,0.18,0
2013-12-10,4.69,4.71,4.69,4.66,40970.62,-0.01,-0.21,4.768,4.802,4.793,49944.3,53960.32,53998.32,0.09,0
2013-12-11,4.66,4.68,4.66,4.62,29213.01,-0.03,-0.64,4.734,4.788,4.789,45862.17,50459.04,52657.89,0.06,0
2013-12-12,4.68,4.71,4.65,4.62,38346.16,-0.01,-0.21,4.698,4.766,4.79,48350.01,49410.17,52144.36,0.08,0
2013-12-13,4.6,4.66,4.61,4.57,41135.67,-0.04,-0.86,4.662,4.741,4.785,46431.07,50455.38,51824.34,0.09,0
2013-12-16,4.63,4.63,4.55,4.54,35891.06,-0.06,-1.3,4.632,4.713,4.774,37111.3,41692.74,50569.73,0.08,0
2013-12-17,4.55,4.56,4.5,4.5,22711.78,-0.05,-1.1,4.594,4.681,4.759,33459.54,41701.92,49182.37,0.05,0
2013-12-18,4.53,4.53,4.48,4.47,35711.13,-0.02,-0.44,4.558,4.646,4.741,34759.16,40310.67,49176.79,0.08,0
2013-12-19,4.5,4.51,4.41,4.32,57432.54,-0.07,-1.56,4.51,4.604,4.717,38576.44,43463.22,47589.66,0.13,0
2013-12-20,4.4,4.44,4.35,4.22,94194.93,-0.06,-1.36,4.458,4.56,4.691,49188.29,47809.68,49849.05,0.21,0
2013-12-23,4.34,4.35,4.31,4.21,58987.59,-0.04,-0.92,4.41,4.521,4.668,53807.59,45459.45,50351.86,0.13,0
2013-12-24,4.29,4.36,4.35,4.24,43380.04,0.04,0.93,4.38,4.487,4.645,57941.25,45700.39,49830.36,0.1,0
2013-12-25,4.34,4.55,4.54,4.29,53543.22,0.19,4.37,4.392,4.475,4.632,61507.66,48133.41,49296.23,0.12,0
2013-12-26,4.54,4.64,4.62,4.46,58706.36,0.08,1.76,4.434,4.472,4.619,61762.43,50169.43,49789.8,0.13,0
2013-12-27,4.61,4.65,4.59,4.58,40119.49,-0.03,-0.65,4.482,4.47,4.606,50947.34,50067.81,50261.6,0.09,0
2013-12-30,4.59,4.59,4.47,4.46,23752.64,-0.12,-2.61,4.514,4.462,4.588,43900.35,48853.97,45273.36,0.05,0
2013-12-31,4.3,4.56,4.49,4.3,35417.13,0.02,0.45,4.542,4.461,4.571,42307.77,50124.51,45913.21,0.08,0
2014-01-02,4.45,4.49,4.47,4.4,26312.78,-0.02,-0.45,4.528,4.46,4.553,36861.68,49184.67,44747.67,0.06,0
2014-01-03,4.42,4.44,4.39,4.34,26175.77,-0.08,-1.79,4.482,4.458,4.531,30355.56,46059.0,44761.11,0.06,0
2014-01-06,4.38,4.38,4.32,4.16,61304.51,-0.07,-1.59,4.428,4.455,4.508,34592.57,42769.95,45289.82,0.13,0
2014-01-07,4.25,4.3,4.25,4.21,18695.56,-0.07,-1.62,4.384,4.449,4.485,33581.15,38740.75,42100.1,0.04,0
2014-01-08,4.27,4.34,4.31,4.21,36143.73,0.06,1.41,4.348,4.445,4.466,33726.47,38017.12,41858.76,0.08,0
2014-01-09,4.26,4.34,4.31,4.23,27265.91,0.0,0.0,4.316,4.422,4.449,33917.1,35389.39,41761.4,0.06,0
2014-01-10,4.25,4.39,4.34,4.18,64966.49,0.03,0.7,4.306,4.394,4.433,41675.24,36015.4,43092.42,0.14,0
2014-01-13,4.29,4.33,4.29,4.21,26947.11,-0.05,-1.15,4.3,4.364,4.417,34803.76,34698.16,42382.99,0.06,0
2014-01-14,4.29,4.4,4.37,4.25,32412.22,0.08,1.86,4.324,4.354,4.408,37547.09,35564.12,42209.05,0.07,0
2014-01-15,4.35,4.38,4.32,4.3,14526.37,-0.05,-1.14,4.326,4.337,4.399,33223.62,33475.05,41799.78,0.03,0
2014-01-16,4.34,4.35,4.29,4.23,27854.07,-0.03,-0.69,4.322,4.319,4.39,33341.25,33629.17,41406.92,0.06,0
2014-01-17,4.21,4.3,4.3,4.2,36049.1,0.01,0.23,4.314,4.31,4.384,27557.77,34616.51,40337.75,0.08,0
2014-01-20,4.26,4.3,4.3,4.25,18030.22,0.0,0.0,4.316,4.308,4.382,25774.4,30289.08,36529.52,0.04,0
2014-01-21,4.32,4.39,4.31,4.3,25154.11,0.01,0.23,4.304,4.314,4.382,24322.77,30934.93,34837.84,0.06,0
2014-01-22,4.33,4.48,4.41,4.3,61751.53,0.1,2.32,4.322,4.324,4.385,33767.81,33495.71,35756.42,0.14,0
2014-01-23,4.4,4.43,4.37,4.33,28979.81,-0.04,-0.91,4.338,4.33,4.376,33992.95,33667.1,34528.25,0.06,0
2014-01-24,4.35,4.53,4.49,4.35,54683.72,0.12,2.75,4.376,4.345,4.37,37719.88,32638.83,34327.11,0.12,0
2014-01-27,4.4,4.48,4.41,4.37,30383.53,-0.08,-1.78,4.398,4.357,4.361,40190.54,32982.47,33840.32,0.07,0
2014-01-28,4.47,4.47,4.36,4.35,22270.63,-0.05,-1.13,4.408,4.356,4.355,39613.84,31968.31,33766.22,0.05,0
2014-01-29,4.36,4.48,4.4,4.35,32966.64,0.04,0.92,4.406,4.364,4.351,33856.87,33812.34,33643.69,0.07,0
2014-01-30,4.4,4.4,4.29,4.27,27937.65,-0.11,-2.5,4.39,4.364,4.342,33648.43,33820.69,33724.93,0.06,0
2014-02-07,4.25,4.34,4.33,4.23,18106.43,0.04,0.93,4.358,4.367,4.339,26332.98,32026.43,33321.47,0.04,0
2014-02-10,4.33,4.4,4.38,4.31,45026.48,0.05,1.16,4.352,4.375,4.342,29261.57,34726.05,32507.57,0.1,0
