date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,5.39,5.42,5.41,5.28,120439.95,0.03,0.56,5.41,5.41,5.41,120439.95,120439.95,120439.95,0.13,0
2013-10-22,5.38,5.47,5.42,5.36,113705.85,0.01,0.18,5.415,5.415,5.415,117072.9,117072.9,117072.9,0.13,0
2013-10-23,5.43,5.47,5.37,5.37,100272.27,-0.05,-0.92,5.4,5.4,5.4,111472.69,111472.69,111472.69,0.11,0
2013-10-24,5.37,5.37,5.27,5.26,102203.01,-0.1,-1.86,5.368,5.368,5.368,109155.27,109155.27,109155.27,0.11,0
2013-10-25,5.29,5.29,5.17,5.15,81403.23,-0.1,-1.9,5.328,5.328,5.328,103604.86,103604.86,103604.86,0.09,0
2013-10-28,5.14,5.17,5.08,5.05,75476.32,-0.09,-1.74,5.262,5.287,5.287,94612.14,98916.77,98916.77,0.08,0
2013-10-29,5.08,5.17,5.02,4.97,99943.09,-0.06,-1.18,5.182,5.249,5.249,91859.58,99063.39,99063.39,0.11,0
2013-10-30,5.03,5.13,5.12,5.02,70891.98,0.1,1.99,5.132,5.233,5.233,85983.53,95541.96,95541.96,0.08,0
2013-10-31,5.11,5.12,5.12,5.07,44553.06,0.0,0.0,5.102,5.22,5.22,74453.54,89876.53,89876.53,0.05,0
2013-11-01,5.12,5.18,5.17,5.1,47905.75,0.05,0.98,5.102,5.215,5.215,67754.04,85679.45,85679.45,0.05,0
2013-11-04,5.21,5.21,5.15,5.12,32782.23,-0.02,-0.39,5.116,5.189,5.209,59215.22,76913.68,80870.61,0.04,0
2013-11-05,5.13,5.14,5.13,5.06,44133.7,-0.02,-0.39,5.138,5.16,5.203,48053.34,69956.46,77809.2,0.05,0
2013-11-06,5.11,5.25,5.15,5.1,70592.92,0.02,0.39,5.144,5.138,5.198,47993.53,66988.53,77254.1,0.08,0
2013-11-07,5.19,5.27,5.24,5.12,113243.27,0.09,1.75,5.168,5.135,5.201,61731.57,68092.56,79824.76,0.13,0
2013-11-08,5.22,5.25,5.13,5.12,57146.43,-0.11,-2.1,5.16,5.131,5.197,63579.71,65666.88,78312.87,0.06,0
