date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,9.73,9.81,9.76,9.58,371237.72,0.05,0.52,9.76,9.76,9.76,371237.72,371237.72,371237.72,0.52,0
2013-10-22,9.73,9.76,9.59,9.55,441906.12,-0.17,-1.74,9.675,9.675,9.675,406571.92,406571.92,406571.92,0.62,0
2013-10-23,9.62,9.81,9.59,9.56,465413.22,0.0,0.0,9.647,9.647,9.647,426185.69,426185.69,426185.69,0.65,0
2013-10-24,9.5,9.61,9.42,9.3,420111.5,-0.17,-1.77,9.59,9.59,9.59,424667.14,424667.14,424667.14,0.59,0
2013-10-25,9.39,9.56,9.42,9.34,414518.75,0.0,0.0,9.556,9.556,9.556,422637.46,422637.46,422637.46,0.58,0
2013-10-28,9.42,9.46,9.19,9.18,480836.25,-0.23,-2.44,9.442,9.495,9.495,444557.17,432337.26,432337.26,0.67,0
2013-10-29,9.19,9.4,9.14,9.0,653967.0,-0.05,-0.54,9.352,9.444,9.444,486969.34,463998.65,463998.65,0.92,0
2013-10-30,9.18,9.38,9.34,9.03,485745.31,0.2,2.19,9.302,9.431,9.431,491035.76,466716.98,466716.98,0.68,0
2013-10-31,9.62,9.9,9.51,9.49,1427887.0,0.17,1.82,9.32,9.44,9.44,692590.86,573513.65,573513.65,2.0,0
2013-11-01,9.41,9.77,9.7,9.4,553365.75,0.19,2.0,9.376,9.466,9.466,720360.26,571498.86,571498.86,0.78,0
2013-11-04,9.7,9.79,9.58,9.55,333087.5,-0.12,-1.24,9.454,9.448,9.476,690810.51,567683.84,549825.1,0.47,0
2013-11-05,9.55,9.55,9.51,9.34,304539.16,-0.07,-0.73,9.528,9.44,9.479,620924.94,553947.14,529384.61,0.43,0
2013-11-06,9.43,9.49,9.31,9.3,314237.31,-0.2,-2.1,9.522,9.412,9.466,586623.34,538829.55,512834.81,0.44,0
2013-11-07,9.26,9.35,9.24,9.16,245752.19,-0.07,-0.75,9.468,9.394,9.45,350196.38,521393.62,493757.48,0.34,0
2013-11-08,9.25,9.34,9.14,9.03,401299.28,-0.1,-1.08,9.356,9.366,9.429,319783.09,520071.68,487593.6,0.56,0
2013-11-11,9.13,9.13,8.95,8.8,389613.34,-0.19,-2.08,9.23,9.342,9.399,331088.26,510949.38,481469.84,0.55,0
2013-11-12,8.91,9.07,9.05,8.9,338104.53,0.1,1.12,9.138,9.333,9.379,337801.33,479363.14,473036.58,0.47,0
2013-11-13,9.07,9.14,9.05,9.0,292539.56,0.0,0.0,9.086,9.304,9.361,333461.78,460042.56,463008.97,0.41,0
2013-11-14,9.08,9.12,8.91,8.81,362195.84,-0.14,-1.55,9.02,9.244,9.337,356750.51,353473.45,457703.02,0.51,0
2013-11-15,8.92,9.21,9.14,8.85,523327.59,0.23,2.58,9.02,9.188,9.327,381156.17,350469.63,460984.25,0.73,0
2013-11-18,9.17,9.37,9.36,9.01,752990.62,0.22,2.41,9.102,9.166,9.307,453831.63,392459.94,480071.89,1.05,0
2013-11-19,9.3,9.36,9.28,9.18,549237.31,-0.08,-0.85,9.148,9.143,9.292,496058.18,416929.76,485438.45,0.77,0
2013-11-20,9.35,9.38,9.24,9.18,315711.81,-0.04,-0.43,9.186,9.136,9.274,500692.63,417077.21,477953.38,0.44,0
2013-11-21,9.16,9.16,8.96,8.88,627312.94,-0.28,-3.03,9.196,9.108,9.251,553716.05,455233.28,488313.45,0.88,0
2013-11-22,8.98,8.99,8.84,8.82,473057.28,-0.12,-1.34,9.136,9.078,9.222,543661.99,462409.08,491240.38,0.66,0
2013-11-25,8.78,8.92,8.85,8.67,480146.66,0.01,0.11,9.034,9.068,9.205,489093.2,471462.41,491205.9,0.67,0
2013-11-26,8.84,8.87,8.74,8.69,374398.62,-0.11,-1.24,8.926,9.037,9.185,454125.46,475091.82,477227.48,0.52,0
2013-11-27,8.72,8.81,8.77,8.6,488407.84,0.03,0.34,8.832,9.009,9.157,488664.67,494678.65,477360.61,0.68,0
2013-11-28,8.76,9.04,8.94,8.75,630365.88,0.17,1.94,8.828,9.012,9.128,489275.26,521495.66,437484.55,0.88,0
2013-11-29,8.92,9.02,8.9,8.88,335805.75,-0.04,-0.45,8.84,8.988,9.088,461824.95,502743.47,426606.55,0.47,0
2013-12-02,8.81,8.9,8.8,8.72,465510.34,-0.1,-1.12,8.83,8.932,9.049,458897.69,473995.44,433227.69,0.65,0
2013-12-03,8.79,8.9,8.9,8.73,337192.81,0.1,1.14,8.862,8.894,9.019,451456.52,452790.99,434860.37,0.47,0
2013-12-04,8.87,9.12,9.0,8.83,608950.38,0.1,1.12,8.908,8.87,9.003,475565.03,482114.85,449596.03,0.85,0
2013-12-05,9.02,9.16,9.05,8.96,394029.91,0.05,0.56,8.93,8.879,8.994,428297.84,458786.55,457009.91,0.55,0
2013-12-06,9.0,9.11,9.0,8.98,250947.62,-0.05,-0.55,8.95,8.895,8.987,411326.21,436575.58,449492.33,0.35,0
2013-12-09,9.05,9.1,8.88,8.86,329616.84,-0.12,-1.33,8.966,8.898,8.983,384147.51,421522.6,446492.51,0.46,0
2013-12-10,8.92,8.97,8.95,8.84,348222.16,0.07,0.79,8.976,8.919,8.978,386353.38,418904.95,446998.39,0.49,0
2013-12-11,8.86,8.97,8.79,8.73,437008.78,-0.16,-1.79,8.934,8.921,8.965,351965.06,413765.05,454221.85,0.61,0
2013-12-12,8.76,8.81,8.7,8.68,287901.25,-0.09,-1.02,8.864,8.897,8.955,330739.33,379518.58,450507.12,0.4,0
2013-12-13,8.62,8.81,8.76,8.62,262739.5,0.06,0.69,8.816,8.883,8.936,333097.71,372211.96,437477.72,0.37,0
