date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,22.0,22.22,22.13,21.8,118618.93,0.03,0.14,22.13,22.13,22.13,118618.93,118618.93,118618.93,0.83,0
2013-10-22,22.05,22.05,21.91,21.81,88025.64,-0.22,-0.99,22.02,22.02,22.02,103322.29,103322.29,103322.29,0.62,0
2013-10-23,22.26,22.38,22.01,21.94,130433.82,0.1,0.46,22.017,22.017,22.017,112359.46,112359.46,112359.46,0.92,0
2013-10-24,21.9,21.92,21.8,21.71,75468.72,-0.21,-0.95,21.963,21.963,21.963,103136.78,103136.78,103136.78,0.53,0
2013-10-25,21.92,21.98,21.43,21.36,87473.9,-0.37,-1.7,21.856,21.856,21.856,100004.2,100004.2,100004.2,0.61,0
2013-10-28,21.5,21.58,21.44,21.3,56114.15,0.01,0.05,21.718,21.787,21.787,87503.25,92689.19,92689.19,0.39,0
2013-10-29,21.49,21.54,20.98,20.75,106343.26,-0.46,-2.15,21.532,21.671,21.671,91166.77,94639.77,94639.77,0.75,0
2013-10-30,20.8,21.02,20.99,20.65,71686.03,0.01,0.05,21.328,21.586,21.586,79417.21,91770.56,91770.56,0.5,0
2013-10-31,20.8,20.8,20.56,20.52,83608.7,-0.43,-2.05,21.08,21.472,21.472,81045.21,90863.68,90863.68,0.59,0
2013-11-01,20.42,20.49,20.39,20.02,79967.58,-0.17,-0.83,20.872,21.364,21.364,79543.94,89774.07,89774.07,0.56,0
2013-11-04,20.34,20.44,20.37,20.23,54896.07,-0.02,-0.1,20.658,21.188,21.274,79300.33,83401.79,86603.35,0.39,0
2013-11-05,20.38,20.39,20.38,20.16,46582.08,0.01,0.05,20.538,21.035,21.199,67348.09,79257.43,83268.24,0.33,0
2013-11-06,20.3,20.38,20.24,20.18,50374.9,-0.14,-0.69,20.388,20.858,21.125,63085.87,71251.54,80737.98,0.35,0
2013-11-07,20.28,20.49,20.39,20.23,62886.39,0.15,0.74,20.354,20.717,21.073,58941.4,69993.31,79462.87,0.44,0
2013-11-08,20.25,20.34,20.01,20.0,62948.53,-0.38,-1.86,20.278,20.575,21.002,55537.59,67540.77,78361.91,0.44,0
2013-11-11,19.77,19.77,19.59,19.5,77095.66,-0.42,-2.1,20.122,20.39,20.914,59977.51,69638.92,78282.77,0.54,0
2013-11-12,19.62,19.75,19.74,19.47,66498.6,0.15,0.77,19.994,20.266,20.845,63960.82,65654.45,77589.59,0.47,0
2013-11-13,19.59,19.59,19.4,19.39,59420.52,-0.34,-1.72,19.826,20.107,20.764,65769.94,64427.9,76580.19,0.42,0
2013-11-14,19.46,19.54,19.43,19.31,63213.68,0.03,0.15,19.634,19.994,20.694,65835.4,62388.4,75876.69,0.44,0
2013-11-15,19.48,19.82,19.73,19.47,94054.13,0.3,1.54,19.578,19.928,20.646,72056.52,63797.06,76785.56,0.66,0
2013-11-18,19.72,20.09,20.06,19.62,116383.79,0.33,1.67,19.672,19.897,20.543,79914.14,69945.83,76673.81,0.82,0
2013-11-19,19.88,19.93,19.84,19.75,79327.01,-0.22,-1.1,19.692,19.843,20.439,82479.83,73220.32,76238.88,0.56,0
2013-11-20,19.98,20.0,19.84,19.74,70403.11,0.0,0.0,19.78,19.803,20.331,84676.34,75223.14,73237.34,0.49,0
2013-11-21,19.58,19.58,19.5,19.39,99003.64,-0.34,-1.71,19.794,19.714,20.216,91834.34,78834.87,74414.09,0.7,0
2013-11-22,19.48,20.11,19.86,19.39,132526.66,0.36,1.85,19.82,19.699,20.137,99528.84,85792.68,76666.72,0.93,0
2013-11-25,19.65,19.8,19.51,19.47,88912.26,-0.35,-1.76,19.71,19.691,20.041,94034.54,86974.34,78306.63,0.62,0
2013-11-26,19.63,19.76,19.64,19.52,55163.14,0.13,0.67,19.67,19.681,19.974,89201.76,85840.79,75747.62,0.39,0
2013-11-27,19.58,19.63,19.6,19.44,79553.86,-0.04,-0.2,19.622,19.701,19.904,91031.91,87854.13,76141.02,0.56,0
