date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,25.0,26.11,25.31,24.65,225702.69,0.41,1.65,25.31,25.31,25.31,225702.69,225702.69,225702.69,2.51,0
2013-10-22,25.18,25.5,24.23,24.0,208622.67,-1.08,-4.27,24.77,24.77,24.77,217162.68,217162.68,217162.68,2.32,0
2013-10-23,24.26,24.72,23.3,23.03,181452.61,-0.93,-3.84,24.28,24.28,24.28,205259.32,205259.32,205259.32,2.02,0
2013-10-24,23.3,24.2,23.7,23.2,98890.0,0.4,1.72,24.135,24.135,24.135,178666.99,178666.99,178666.99,1.1,0
2013-10-25,23.55,23.88,21.33,21.33,364846.38,-2.37,-10.0,23.574,23.574,23.574,215902.87,215902.87,215902.87,4.06,0
2013-10-28,20.85,21.59,21.34,20.58,183890.39,0.01,0.05,22.78,23.202,23.202,207540.41,210567.46,210567.46,2.05,0
2013-10-29,21.33,21.65,19.23,19.21,266393.62,-2.11,-9.89,21.78,22.634,22.634,219094.6,218542.62,218542.62,2.97,0
2013-10-30,19.2,20.19,19.6,19.1,192816.38,0.37,1.92,21.04,22.255,22.255,221367.35,215326.84,215326.84,2.15,0
2013-10-31,19.61,20.01,19.53,19.33,105849.64,-0.07,-0.36,20.206,21.952,21.952,222759.28,203162.71,203162.71,1.18,0
2013-11-01,19.48,19.87,19.72,19.38,75217.08,0.19,0.97,19.884,21.729,21.729,164833.42,190368.15,190368.15,0.84,0
2013-11-04,19.6,20.97,20.97,19.55,117423.36,1.25,6.34,19.81,21.295,21.66,151540.02,179540.21,183736.8,1.31,0
2013-11-05,21.0,21.45,21.39,20.6,112394.82,0.42,2.0,20.242,21.011,21.638,120740.26,169917.43,177791.64,1.25,0
2013-11-06,21.41,21.85,21.3,21.2,133545.23,-0.09,-0.42,20.582,20.811,21.612,108886.03,165126.69,174388.07,1.49,0
2013-11-07,21.55,22.0,20.98,20.55,110964.43,-0.32,-1.5,20.872,20.539,21.566,109908.98,166334.13,169857.81,1.24,0
2013-11-08,20.94,20.94,20.38,20.0,108314.11,-0.6,-2.86,21.004,20.444,21.487,116528.39,140680.91,165754.89,1.21,0
2013-11-11,20.31,20.49,20.0,18.34,222665.34,-0.38,-1.86,20.81,20.31,21.394,137576.79,144558.4,169311.8,2.48,0
2013-11-12,20.06,21.38,21.22,20.01,147459.34,1.22,6.1,20.776,20.509,21.384,144589.69,132664.97,168026.36,1.64,0
2013-11-13,21.24,21.39,20.5,20.49,126584.77,-0.72,-3.39,20.616,20.599,21.335,143197.6,126041.81,165724.05,1.41,0
2013-11-14,20.3,21.04,20.79,20.3,84962.42,0.29,1.42,20.578,20.725,21.306,137997.2,123953.09,161473.44,0.95,0
2013-11-15,20.78,21.3,20.91,20.6,131701.84,0.12,0.58,20.684,20.844,21.287,142674.74,129601.57,159984.86,1.47,0
2013-11-18,20.77,21.43,21.29,20.77,123865.22,0.38,1.82,20.942,20.876,21.086,122914.72,130245.75,154892.98,1.38,0
2013-11-19,21.3,22.69,22.25,21.29,168246.94,0.96,4.51,21.148,20.962,20.987,127072.24,135830.96,152874.2,1.87,0
2013-11-20,22.25,22.5,22.19,21.79,91749.08,-0.06,-0.27,21.486,21.051,20.931,120105.1,131651.35,148389.02,1.02,0
2013-11-21,22.23,22.45,22.25,21.79,93838.85,0.06,0.27,21.778,21.178,20.859,121880.39,129938.79,148136.46,1.05,0
2013-11-22,22.31,22.5,21.56,21.48,119695.47,-0.69,-3.1,21.908,21.296,20.87,119479.11,131076.93,135878.92,1.33,0
2013-11-25,21.7,22.29,21.88,21.53,99471.13,0.32,1.48,22.026,21.484,20.897,114600.29,118757.51,131657.95,1.11,0
2013-11-26,21.82,23.17,22.88,21.55,166834.52,1.0,4.57,22.152,21.65,21.08,114317.81,120695.02,126680.0,1.86,0
2013-11-27,22.78,23.49,23.02,22.6,127833.42,0.14,0.61,22.318,21.902,21.251,121534.68,120819.89,123430.85,1.42,0
2013-11-28,23.26,23.35,22.85,22.73,103183.37,-0.17,-0.74,22.438,22.108,21.417,123403.58,122641.98,123297.54,1.15,0
2013-11-29,22.94,23.97,23.7,22.75,152017.88,0.85,3.72,22.866,22.387,21.616,129868.06,124673.59,127137.58,1.69,0
2013-12-02,23.23,23.25,22.07,21.8,196247.34,-1.63,-6.88,22.904,22.465,21.671,149223.31,131911.8,131078.78,2.19,0
2013-12-03,21.8,22.5,22.5,21.31,133743.53,0.43,1.95,22.828,22.49,21.726,142605.11,128461.46,132146.21,1.49,0
2013-12-04,22.38,22.85,22.63,22.29,98286.37,0.13,0.58,22.75,22.534,21.793,136695.7,129115.19,130383.27,1.09,0
2013-12-05,22.5,22.5,21.88,21.67,108965.14,-0.75,-3.31,22.556,22.497,21.838,137852.05,130627.82,130283.3,1.21,0
2013-12-06,21.82,22.15,21.95,21.72,55140.22,0.07,0.32,22.206,22.536,21.916,118476.52,124172.29,127624.61,0.61,0
2013-12-09,21.97,22.45,22.2,21.9,56756.35,0.25,1.14,22.232,22.568,22.026,90578.32,119900.81,119329.16,0.63,0
2013-12-10,22.31,22.44,21.8,21.6,80156.37,-0.4,-1.8,22.092,22.46,22.055,79860.89,111233.0,115964.01,0.89,0
2013-12-11,21.69,21.83,21.12,20.95,103166.46,-0.68,-3.12,21.79,22.27,22.086,80836.91,108766.3,114793.1,1.15,0
2013-12-12,21.15,21.77,21.31,20.9,91663.8,0.19,0.9,21.676,22.116,22.112,77376.64,107614.35,115128.17,1.02,0
2013-12-13,21.3,21.48,21.28,21.01,52639.31,-0.03,-0.14,21.542,21.874,22.131,76876.46,97676.49,111175.04,0.59,0
