date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,5.16,5.62,5.62,5.12,923203.38,0.51,9.98,5.62,5.62,5.62,923203.38,923203.38,923203.38,4.31,0
2013-10-22,5.75,6.05,5.58,5.5,782234.31,-0.04,-0.71,5.6,5.6,5.6,852718.85,852718.85,852718.85,3.66,0
2013-10-23,5.51,5.84,5.79,5.28,540432.38,0.21,3.76,5.663,5.663,5.663,748623.36,748623.36,748623.36,2.53,0
2013-10-24,5.74,6.2,6.12,5.74,636528.75,0.33,5.7,5.778,5.778,5.778,720599.71,720599.71,720599.71,2.97,0
2013-10-25,6.01,6.1,5.79,5.69,401170.34,-0.33,-5.39,5.78,5.78,5.78,656713.83,656713.83,656713.83,1.87,0
2013-10-28,5.76,6.18,5.74,5.57,295893.38,-0.05,-0.86,5.804,5.773,5.773,531251.83,596577.09,596577.09,1.38,0
2013-10-29,5.7,6.1,5.91,5.5,376561.69,0.17,2.96,5.87,5.793,5.793,450117.31,565146.32,565146.32,1.76,0
2013-10-30,5.85,6.1,5.97,5.68,357925.19,0.06,1.01,5.906,5.815,5.815,413615.87,539243.68,539243.68,1.67,0
2013-10-31,5.82,5.85,5.4,5.37,426370.72,-0.57,-9.55,5.762,5.769,5.769,371584.26,526702.24,526702.24,1.99,0
2013-11-01,5.42,5.48,5.43,5.29,163082.98,0.03,0.56,5.69,5.735,5.735,323966.79,490340.31,490340.31,0.76,0
2013-11-04,5.46,5.56,5.45,5.42,109404.05,0.02,0.37,5.632,5.718,5.709,286668.93,408960.38,455709.74,0.51,0
2013-11-05,5.45,5.66,5.64,5.38,238290.88,0.19,3.49,5.578,5.724,5.703,259014.76,354566.04,437591.5,1.11,0
2013-11-06,5.63,5.64,5.49,5.38,294305.88,-0.15,-2.66,5.482,5.694,5.687,246290.9,329953.39,426569.53,1.38,0
2013-11-07,5.44,5.44,5.34,5.3,188435.69,-0.15,-2.73,5.47,5.616,5.662,198703.9,285144.08,409559.97,0.88,0
2013-11-08,5.33,5.33,5.18,5.13,170361.12,-0.16,-3.0,5.42,5.555,5.63,200159.52,262063.16,393613.38,0.8,0
2013-11-11,5.15,5.31,5.17,5.13,131525.69,-0.01,-0.19,5.364,5.498,5.601,204583.85,245626.39,377232.9,0.61,0
2013-11-12,5.21,5.23,5.17,5.09,113099.69,0.0,0.0,5.27,5.424,5.576,179545.61,219280.19,361695.65,0.53,0
