date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,3.41,3.47,3.46,3.38,921511.69,0.05,1.47,3.46,3.46,3.46,921511.69,921511.69,921511.69,0.43,0
2013-10-22,3.45,3.46,3.42,3.4,695900.0,-0.04,-1.16,3.44,3.44,3.44,808705.85,808705.85,808705.85,0.33,0
2013-10-23,3.42,3.45,3.37,3.36,884529.38,-0.05,-1.46,3.417,3.417,3.417,833980.36,833980.36,833980.36,0.42,0
2013-10-24,3.34,3.44,3.44,3.33,1167840.12,0.07,2.08,3.423,3.423,3.423,917445.3,917445.3,917445.3,0.55,0
2013-10-25,3.42,3.44,3.36,3.33,1144807.62,-0.08,-2.33,3.41,3.41,3.41,962917.76,962917.76,962917.76,0.54,0
2013-10-28,3.36,3.38,3.35,3.33,777649.5,-0.01,-0.3,3.388,3.4,3.4,934145.32,932039.72,932039.72,0.37,0
2013-10-29,3.36,3.4,3.33,3.29,1551304.88,-0.02,-0.6,3.37,3.39,3.39,1105226.3,1020506.17,1020506.17,0.73,0
2013-10-30,3.34,3.38,3.37,3.33,858368.12,0.04,1.2,3.37,3.388,3.388,1099994.05,1000238.91,1000238.91,0.4,0
2013-10-31,3.37,3.46,3.44,3.35,1392672.88,0.07,2.08,3.37,3.393,3.393,1144960.6,1043842.69,1043842.69,0.66,0
2013-11-01,3.44,3.44,3.41,3.4,567319.12,-0.03,-0.87,3.38,3.395,3.395,1029462.9,996190.33,996190.33,0.27,0
2013-11-04,3.43,3.44,3.4,3.38,526695.06,-0.01,-0.29,3.39,3.389,3.395,979272.01,956708.67,953508.94,0.25,0
2013-11-05,3.38,3.4,3.39,3.34,647360.88,-0.01,-0.29,3.402,3.386,3.395,798483.21,951854.76,927996.6,0.31,0
2013-11-06,3.38,3.41,3.37,3.36,584144.56,-0.02,-0.59,3.402,3.386,3.393,743638.5,921816.27,901546.45,0.28,0
2013-11-07,3.37,3.38,3.33,3.32,543959.94,-0.04,-1.19,3.38,3.375,3.389,573895.91,859428.26,876004.55,0.26,0
2013-11-08,3.33,3.35,3.31,3.29,554034.31,-0.02,-0.6,3.36,3.37,3.383,571238.95,800350.93,854539.87,0.26,0
2013-11-11,3.31,3.32,3.28,3.26,421400.22,-0.03,-0.91,3.336,3.363,3.377,550179.98,764726.0,827468.64,0.2,0
2013-11-12,3.3,3.31,3.31,3.28,498251.62,0.03,0.92,3.32,3.361,3.373,520358.13,659420.67,808102.94,0.24,0
2013-11-13,3.29,3.3,3.22,3.21,856057.06,-0.09,-2.72,3.29,3.346,3.364,574740.63,659189.57,810767.05,0.4,0
2013-11-14,3.22,3.25,3.24,3.2,538119.19,0.02,0.62,3.272,3.326,3.358,573572.48,573734.2,796417.17,0.25,0
2013-11-15,3.24,3.31,3.28,3.23,907069.12,0.04,1.24,3.266,3.313,3.354,644179.44,607709.2,801949.76,0.43,0
2013-11-18,3.29,3.35,3.34,3.27,1114335.88,0.06,1.83,3.278,3.307,3.348,782766.57,666473.28,811590.97,0.53,0
2013-11-19,3.34,3.37,3.33,3.31,644489.62,-0.01,-0.3,3.282,3.301,3.344,812014.17,666186.15,809020.45,0.3,0
2013-11-20,3.34,3.37,3.37,3.32,781076.25,0.04,1.2,3.312,3.301,3.344,797018.01,685879.32,803847.8,0.37,0
2013-11-21,3.35,3.36,3.34,3.31,628010.88,-0.03,-0.89,3.332,3.302,3.339,814996.35,694284.42,776856.34,0.3,0
2013-11-22,3.35,3.36,3.33,3.31,674541.5,-0.01,-0.3,3.342,3.304,3.337,768490.83,706335.13,753343.03,0.32,0
2013-11-25,3.31,3.33,3.29,3.29,813041.25,-0.04,-1.2,3.332,3.305,3.334,708231.9,745499.24,755112.62,0.38,0
2013-11-26,3.29,3.31,3.29,3.28,542997.0,0.0,0.0,3.324,3.303,3.332,687933.38,749973.78,704697.22,0.26,0
2013-11-27,3.29,3.32,3.32,3.27,579269.0,0.03,0.91,3.314,3.313,3.33,647571.93,722294.97,690742.27,0.27,0
2013-11-28,3.32,3.38,3.35,3.3,1323373.75,0.03,0.9,3.316,3.324,3.325,786644.5,800820.43,687277.31,0.62,0
2013-11-29,3.36,3.47,3.44,3.33,2271545.25,0.09,2.69,3.338,3.34,3.327,1106045.25,937268.04,772488.62,1.07,0
2013-12-02,3.41,3.49,3.41,3.37,1748304.0,-0.03,-0.87,3.362,3.347,3.327,1293097.8,1000664.85,833569.06,0.82,0
2013-12-03,3.4,3.48,3.44,3.37,1037799.25,0.03,0.88,3.392,3.358,3.33,1392058.25,1039995.81,853090.98,0.49,0
2013-12-04,3.45,3.52,3.5,3.43,1805273.88,0.06,1.74,3.428,3.371,3.336,1637259.23,1142415.58,914147.45,0.85,0
2013-12-05,3.55,3.55,3.43,3.41,2312028.25,-0.07,-2.0,3.444,3.38,3.341,1834990.13,1310817.31,1002550.86,1.09,0
2013-12-06,3.41,3.42,3.39,3.38,865305.75,-0.04,-1.17,3.434,3.386,3.345,1553742.23,1329893.74,1018114.44,0.41,0
2013-12-09,3.41,3.42,3.38,3.36,863515.38,-0.01,-0.29,3.428,3.395,3.35,1376784.5,1334941.15,1040220.19,0.41,0
2013-12-10,3.38,3.39,3.38,3.36,510395.56,0.0,0.0,3.416,3.404,3.354,1271303.76,1331681.01,1040827.39,0.24,0
2013-12-11,3.36,3.37,3.32,3.31,699846.5,-0.06,-1.77,3.38,3.404,3.359,1050218.29,1343738.76,1033016.86,0.33,0
2013-12-12,3.32,3.37,3.36,3.32,664251.44,0.04,1.21,3.366,3.405,3.365,720662.93,1277826.53,1039323.48,0.31,0
2013-12-13,3.33,3.36,3.33,3.32,538306.94,-0.03,-0.89,3.354,3.394,3.367,655263.16,1104502.69,1020885.37,0.25,0
2013-12-16,3.33,3.34,3.27,3.27,657567.56,-0.06,-1.8,3.332,3.38,3.364,614073.6,995429.05,998046.95,0.31,0
2013-12-17,3.28,3.29,3.25,3.24,527025.31,-0.02,-0.61,3.306,3.361,3.36,617399.55,944351.66,992173.74,0.25,0
2013-12-18,3.25,3.27,3.25,3.23,435249.75,0.0,0.0,3.292,3.336,3.354,564480.2,807349.24,974882.41,0.21,0
2013-12-19,3.26,3.28,3.24,3.23,726255.56,-0.01,-0.31,3.268,3.317,3.349,576881.02,648771.98,979794.64,0.34,0
2013-12-20,3.24,3.25,3.2,3.19,744270.62,-0.04,-1.24,3.242,3.298,3.342,618073.76,636668.46,983281.1,0.35,0
2013-12-23,3.2,3.23,3.2,3.16,458301.94,0.0,0.0,3.228,3.28,3.338,578220.64,596147.12,965544.13,0.22,0
2013-12-24,3.26,3.3,3.21,3.19,755012.44,0.01,0.31,3.22,3.263,3.334,623818.06,620608.81,976144.91,0.36,0
2013-12-25,3.22,3.23,3.22,3.19,411636.91,0.01,0.31,3.214,3.253,3.329,619095.49,591787.85,967763.3,0.19,0
2013-12-26,3.21,3.22,3.17,3.16,390871.84,-0.05,-1.55,3.2,3.234,3.32,552018.75,564449.89,921138.21,0.18,0
2013-12-27,3.17,3.21,3.2,3.16,489911.69,0.03,0.95,3.2,3.221,3.308,501146.96,559610.36,832056.53,0.23,0
2013-12-30,3.2,3.23,3.19,3.19,441022.88,-0.01,-0.31,3.198,3.213,3.297,497691.15,537955.89,766692.47,0.21,0
2013-12-31,3.19,3.22,3.21,3.19,415157.94,0.02,0.63,3.198,3.209,3.285,429720.25,526769.16,735560.41,0.2,0
2014-01-02,3.21,3.24,3.23,3.2,517125.12,0.02,0.62,3.2,3.207,3.272,450817.89,534956.69,671152.97,0.24,0
2014-01-03,3.22,3.23,3.17,3.15,636213.0,-0.06,-1.86,3.2,3.2,3.259,499886.13,525952.44,587362.21,0.3,0
2014-01-06,3.16,3.16,3.08,3.07,717430.38,-0.09,-2.84,3.176,3.188,3.243,545389.86,523268.41,579968.44,0.34,0
2014-01-07,3.08,3.1,3.09,3.07,380320.75,0.01,0.33,3.156,3.177,3.229,533249.44,515470.29,555808.71,0.18,0
